Frame Index, Fixed Action 0 Bitrate (kbps), Fixed Action 1 Bitrate (kbps), Fixed Action 2 Bitrate (kbps), Fixed Action 3 Bitrate (kbps), Fixed Action 4 Bitrate (kbps), Fixed Action 5 Bitrate (kbps)
97, 176.55, 176.55, 176.55, 176.55, 176.55, 176.55
98, 53.14, 81.27, 114.76, 164.00, 249.55, 316.79
99, 60.26, 91.95, 129.94, 186.01, 272.90, 343.58
100, 62.75, 99.18, 144.86, 204.96, 299.67, 373.63
101, 67.57, 107.86, 152.73, 216.30, 317.82, 392.34
102, 69.93, 111.51, 158.64, 223.95, 330.96, 406.09
103, 66.65, 109.66, 158.65, 225.96, 341.51, 415.04
104, 74.71, 119.33, 169.04, 237.65, 357.22, 429.43
105, 176.36, 176.36, 176.36, 176.36, 176.36, 176.36
106, 54.68, 84.03, 118.09, 170.24, 256.21, 323.03
107, 57.25, 89.16, 127.48, 180.34, 270.14, 343.19
108, 61.63, 97.96, 139.77, 196.97, 293.97, 368.60
109, 66.69, 103.50, 149.46, 209.61, 311.48, 384.87
110, 66.47, 106.53, 153.57, 219.30, 326.76, 398.24
111, 70.64, 110.45, 157.78, 225.03, 335.11, 410.15
112, 71.08, 113.10, 159.55, 227.34, 340.81, 415.11
113, 179.38, 179.38, 179.38, 179.38, 179.38, 179.38
114, 55.79, 85.90, 121.48, 171.82, 258.17, 328.07
115, 61.40, 93.73, 133.86, 187.97, 280.63, 353.34
116, 63.28, 98.93, 139.12, 195.26, 291.75, 367.43
117, 61.71, 97.14, 140.64, 201.30, 306.02, 379.29
118, 98.48, 146.78, 195.47, 258.99, 367.61, 447.93
119, 88.40, 137.67, 185.86, 254.21, 367.48, 445.49
120, 85.04, 134.89, 185.01, 258.55, 375.20, 452.24
121, 175.93, 175.93, 175.93, 175.93, 175.93, 175.93
122, 46.43, 73.36, 105.90, 155.90, 238.63, 304.21
123, 60.74, 90.99, 129.43, 184.40, 273.26, 344.30
124, 65.99, 101.19, 142.97, 201.68, 294.81, 367.57
125, 67.55, 105.45, 148.41, 211.48, 309.79, 383.15
126, 70.50, 110.27, 157.03, 220.53, 322.48, 397.77
127, 66.75, 106.50, 155.31, 222.04, 328.98, 404.49
128, 68.85, 109.80, 158.70, 228.38, 340.65, 414.33
129, 173.51, 173.51, 173.51, 173.51, 173.51, 173.51
130, 47.39, 74.64, 106.65, 156.42, 240.38, 304.34
131, 57.50, 85.90, 121.39, 175.06, 262.72, 331.09
132, 58.34, 92.12, 131.66, 190.15, 283.38, 355.43
133, 63.97, 99.53, 142.98, 205.82, 301.08, 378.89
134, 67.89, 104.67, 149.98, 213.62, 313.65, 390.62
135, 69.68, 108.03, 155.28, 223.52, 324.90, 404.22
136, 77.98, 122.74, 172.01, 243.43, 348.65, 428.74
137, 174.19, 174.19, 174.19, 174.19, 174.19, 174.19
138, 56.27, 88.40, 124.14, 175.24, 258.16, 327.21
139, 62.89, 99.85, 139.03, 194.73, 283.07, 354.11
140, 62.64, 102.62, 143.93, 207.20, 303.05, 373.69
141, 64.80, 105.34, 146.63, 212.95, 313.74, 386.78
142, 63.62, 103.50, 148.41, 215.40, 323.94, 395.76
143, 67.17, 108.47, 154.01, 221.91, 330.60, 407.05
144, 70.42, 112.64, 160.35, 230.48, 343.22, 418.42
145, 172.43, 172.43, 172.43, 172.43, 172.43, 172.43
146, 51.63, 79.08, 112.49, 161.58, 244.29, 311.27
147, 53.84, 84.22, 120.38, 175.59, 261.31, 332.23
148, 60.19, 93.93, 134.75, 191.09, 282.53, 353.67
149, 65.37, 102.98, 146.44, 205.88, 304.17, 377.94
150, 69.10, 109.77, 156.19, 218.94, 322.60, 398.58
151, 71.59, 112.53, 160.40, 226.61, 335.69, 410.27
