Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1533
3, 0, 16.7274
4, 0, 15.8845
5, 0, 15.4294
6, 0, 14.8588
7, 0, 14.4514
8, 0, 13.9982
9, 0, 16.4717
10, 0, 17.1441
11, 0, 16.5398
12, 0, 15.8942
13, 0, 15.3705
14, 0, 14.6957
15, 0, 14.1303
16, 0, 13.8064
17, 0, 16.4228
18, 0, 17.0535
19, 0, 16.3489
20, 0, 15.7829
21, 0, 15.4339
22, 0, 14.8394
23, 0, 14.3424
24, 0, 13.9178
25, 0, 16.5465
26, 0, 17.0311
27, 0, 16.6146
28, 0, 16.0499
29, 0, 15.3782
30, 0, 14.8271
31, 0, 14.3034
32, 0, 13.8462
33, 0, 16.4817
34, 0, 16.7988
35, 0, 16.3784
36, 0, 15.9614
37, 0, 15.3232
38, 0, 14.7318
39, 0, 14.3365
40, 0, 13.7307
41, 0, 16.5078
42, 0, 17.0067
43, 0, 16.6124
44, 0, 15.9176
45, 0, 15.3270
46, 0, 14.7279
47, 0, 14.2137
48, 0, 13.8183
49, 0, 16.3726
50, 0, 16.8852
51, 0, 16.5134
52, 0, 15.8672
53, 0, 15.3507
54, 0, 14.7565
55, 0, 14.2162
56, 0, 13.8125
57, 0, 16.3051
58, 0, 16.7514
59, 0, 16.4190
60, 0, 15.8854
61, 0, 15.3549
62, 0, 14.7618
63, 0, 14.3364
64, 0, 13.8230
65, 0, 16.3254
66, 0, 16.7548
67, 0, 16.3654
68, 0, 15.7671
69, 0, 15.2328
70, 0, 14.6937
71, 0, 14.1877
72, 0, 13.8591
73, 0, 16.2885
74, 0, 16.7109
75, 0, 16.2268
76, 0, 15.8428
77, 0, 15.2624
78, 0, 14.6530
79, 0, 14.1202
80, 0, 13.5508
81, 0, 16.2813
82, 0, 16.5803
83, 0, 16.1170
84, 0, 15.6070
85, 0, 15.0798
86, 0, 14.5547
87, 0, 14.1497
88, 0, 13.6824
89, 0, 16.1373
90, 0, 16.8192
91, 0, 15.8890
92, 0, 15.6779
93, 0, 15.2997
94, 0, 14.5891
95, 0, 14.1399
96, 0, 13.7237
97, 0, 16.1959
98, 0, 16.7623
99, 0, 16.2356
100, 0, 15.5852
101, 0, 15.0636
102, 0, 14.1412
103, 0, 13.9540
104, 0, 13.7611
105, 0, 16.2872
106, 0, 16.5699
107, 0, 16.2234
108, 0, 15.6677
109, 0, 15.1434
110, 0, 14.5827
111, 0, 14.0964
112, 0, 13.8183
113, 0, 16.3131
114, 0, 16.4127
115, 0, 16.1501
116, 0, 15.7606
117, 0, 15.1996
118, 0, 13.5289
119, 0, 13.5664
120, 0, 13.4882
121, 0, 16.3969
122, 0, 16.8492
123, 0, 16.1597
124, 0, 15.6376
125, 0, 15.1317
126, 0, 14.5745
127, 0, 14.0540
128, 0, 12.8246
129, 0, 16.3115
130, 0, 16.2587
131, 0, 13.9206
132, 0, 12.7219
133, 0, 11.5204
134, 0, 10.6959
135, 0, 9.9070
136, 0, 9.2143
137, 0, 16.2058
138, 0, 15.2079
139, 0, 13.7372
140, 0, 12.5360
141, 0, 11.5149
142, 0, 10.7175
143, 0, 12.9020
144, 0, 13.2869
145, 0, 16.2616
146, 0, 16.6065
147, 0, 16.1026
148, 0, 15.6577
149, 0, 15.1095
150, 0, 14.5667
151, 0, 14.0688
152, 0, 13.6856
153, 0, 16.3747
154, 0, 16.7303
