Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1530
3, 0, 16.7173
4, 0, 16.7634
5, 0, 16.5113
6, 0, 16.0046
7, 0, 15.6095
8, 0, 14.9808
9, 0, 14.3552
10, 0, 13.9203
11, 0, 16.5655
12, 0, 17.0103
13, 0, 16.6621
14, 0, 15.9398
15, 0, 15.2991
16, 0, 14.7393
17, 0, 14.1381
18, 0, 13.7732
19, 0, 16.5245
20, 0, 16.7818
21, 0, 16.5750
22, 0, 16.0211
23, 0, 15.4977
24, 0, 14.8734
25, 0, 14.3233
26, 0, 13.8259
27, 0, 16.5271
28, 0, 17.0314
29, 0, 16.3956
30, 0, 15.9732
31, 0, 15.3705
32, 0, 14.7005
33, 0, 14.1541
34, 0, 13.8912
35, 0, 16.3776
36, 0, 16.7904
37, 0, 16.3505
38, 0, 15.8789
39, 0, 15.3378
40, 0, 14.6051
41, 0, 14.2929
42, 0, 13.8653
43, 0, 16.4628
44, 0, 16.7060
45, 0, 16.3279
46, 0, 15.9136
47, 0, 15.2974
48, 0, 14.6344
49, 0, 14.2172
50, 0, 13.8388
51, 0, 16.5084
52, 0, 16.7700
53, 0, 16.4923
54, 0, 15.8388
55, 0, 15.2808
56, 0, 14.7109
57, 0, 14.1619
58, 0, 13.7869
59, 0, 16.3942
60, 0, 16.8097
61, 0, 16.2889
62, 0, 15.8657
63, 0, 15.4011
64, 0, 14.7040
65, 0, 14.1963
66, 0, 13.8535
67, 0, 16.4064
68, 0, 16.8482
69, 0, 16.2755
70, 0, 15.8308
71, 0, 15.2615
72, 0, 14.7643
73, 0, 14.2552
74, 0, 13.7593
75, 0, 16.3106
76, 0, 16.8201
77, 0, 16.3647
78, 0, 15.8412
79, 0, 15.1363
80, 0, 14.5124
81, 0, 13.9881
82, 0, 13.6740
83, 0, 16.2542
84, 0, 16.4863
85, 0, 16.1597
86, 0, 15.6872
87, 0, 15.1969
88, 0, 14.6544
89, 0, 14.1722
90, 0, 13.7077
91, 0, 16.3427
92, 0, 16.8120
93, 0, 16.4796
94, 0, 15.6883
95, 0, 15.1143
96, 0, 14.5716
97, 0, 14.0295
98, 0, 13.7257
99, 0, 16.1541
100, 0, 16.4706
101, 0, 15.9166
102, 0, 15.4880
103, 0, 14.9746
104, 0, 14.5963
105, 0, 14.1888
106, 0, 13.7308
107, 0, 16.2009
108, 0, 16.5550
109, 0, 16.1436
110, 0, 15.6211
111, 0, 15.0877
112, 0, 14.6850
113, 0, 14.1633
114, 0, 13.6673
115, 0, 16.3044
116, 0, 16.7698
117, 0, 16.3592
118, 0, 15.1313
119, 0, 14.9074
120, 0, 14.3466
121, 0, 14.0278
122, 0, 13.5901
123, 0, 16.2742
124, 0, 16.6096
125, 0, 16.1682
126, 0, 15.6581
127, 0, 15.0956
128, 0, 14.5566
129, 0, 14.0800
130, 0, 13.7749
131, 0, 16.2490
132, 0, 16.7689
133, 0, 16.1358
134, 0, 15.7113
135, 0, 15.1145
136, 0, 14.5168
137, 0, 14.0664
138, 0, 13.6805
139, 0, 16.2029
140, 0, 16.6170
141, 0, 16.2217
142, 0, 15.6838
143, 0, 15.0944
144, 0, 14.5776
145, 0, 14.1490
146, 0, 13.7194
147, 0, 16.1814
148, 0, 16.6260
149, 0, 16.1555
150, 0, 15.6108
151, 0, 15.1070
152, 0, 14.5457
153, 0, 14.2106
154, 0, 13.7625
155, 0, 16.1121
156, 0, 16.6750
157, 0, 16.3408
158, 0, 15.6115
159, 0, 15.1453
160, 0, 14.5506
161, 0, 14.1505
162, 0, 13.6520
163, 0, 16.2808
164, 0, 16.6398
165, 0, 16.1315
166, 0, 15.6213
167, 0, 15.0578
168, 0, 14.5017
169, 0, 14.0684
170, 0, 13.6631
171, 0, 16.1061
172, 0, 16.6598
173, 0, 16.1425
174, 0, 15.6059
175, 0, 15.0955
176, 0, 14.4664
177, 0, 13.9194
178, 0, 13.7360
179, 0, 16.0746
180, 0, 16.5488
181, 0, 16.1591
182, 0, 15.6106
183, 0, 15.0092
184, 0, 14.4412
185, 0, 14.0244
186, 0, 13.6882
187, 0, 16.1877
188, 0, 16.5240
189, 0, 15.9726
190, 0, 15.5140
191, 0, 15.0098
192, 0, 14.4161
193, 0, 14.0043
194, 0, 13.7766
195, 0, 16.1869
196, 0, 16.6585
197, 0, 16.0871
198, 0, 15.6698
199, 0, 15.1005
200, 0, 14.5789
201, 0, 14.0977
202, 0, 13.6117
203, 0, 16.0469
204, 0, 16.3847
205, 0, 15.9702
206, 0, 15.4974
207, 0, 14.9220
208, 0, 14.4327
209, 0, 13.9285
210, 0, 13.7233
211, 0, 16.4185
212, 0, 16.7697
213, 0, 16.3079
214, 0, 15.7931
215, 0, 15.2027
216, 0, 14.6271
217, 0, 14.3583
218, 0, 13.8136
219, 0, 16.4317
220, 0, 16.6370
221, 0, 16.3924
222, 0, 15.8339
223, 0, 15.3794
224, 0, 14.6660
225, 0, 14.2994
226, 0, 13.7887
227, 0, 16.4505
228, 0, 16.8388
229, 0, 16.3420
230, 0, 15.7352
231, 0, 15.1466
232, 0, 14.7244
233, 0, 14.2064
234, 0, 13.8046
235, 0, 16.4006
236, 0, 16.8265
237, 0, 16.3379
238, 0, 15.7049
239, 0, 15.1415
240, 0, 14.6508
241, 0, 14.0426
242, 0, 13.7451
243, 0, 16.3366
244, 0, 16.6159
245, 0, 16.2164
246, 0, 15.7441
247, 0, 15.3029
248, 0, 14.7056
249, 0, 14.1058
250, 0, 12.6728
1, 1, 13.9566
2, 1, 15.9986
3, 1, 16.7173
4, 1, 17.2697
5, 1, 17.3075
6, 1, 16.9522
7, 1, 16.7670
8, 1, 16.3542
9, 1, 15.8495
10, 1, 15.6336
11, 1, 16.5655
12, 1, 17.4679
13, 1, 17.3600
14, 1, 16.9239
15, 1, 16.4945
16, 1, 16.1855
17, 1, 15.6951
18, 1, 15.5302
19, 1, 16.5245
20, 1, 17.2713
21, 1, 17.2810
22, 1, 16.9610
23, 1, 16.6499
24, 1, 16.2587
25, 1, 15.8484
26, 1, 15.5210
27, 1, 16.5271
28, 1, 17.5580
29, 1, 17.1239
30, 1, 16.9228
31, 1, 16.4697
32, 1, 16.0238
33, 1, 15.6752
34, 1, 15.5510
35, 1, 16.3776
36, 1, 17.3696
37, 1, 17.1181
38, 1, 16.8439
39, 1, 16.5284
40, 1, 15.9347
41, 1, 15.8417
42, 1, 15.6192
43, 1, 16.4628
44, 1, 17.3044
45, 1, 17.1219
46, 1, 16.8586
47, 1, 16.4905
48, 1, 16.0248
49, 1, 15.6974
50, 1, 15.4854
51, 1, 16.5084
52, 1, 17.4424
53, 1, 17.2819
54, 1, 16.8281
55, 1, 16.4609
56, 1, 16.0845
57, 1, 15.6915
58, 1, 15.4697
59, 1, 16.3942
60, 1, 17.3171
61, 1, 16.9814
62, 1, 16.7608
63, 1, 16.5487
64, 1, 16.0735
