Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1540
3, 0, 16.7317
4, 0, 15.8974
5, 0, 15.4298
6, 0, 14.8450
7, 0, 14.4776
8, 0, 14.0193
9, 0, 16.4717
10, 0, 17.1459
11, 0, 16.5459
12, 0, 15.9023
13, 0, 15.4012
14, 0, 14.7173
15, 0, 14.1797
16, 0, 13.7954
17, 0, 16.4228
18, 0, 17.0615
19, 0, 16.3580
20, 0, 15.7881
21, 0, 15.4343
22, 0, 14.8494
23, 0, 14.3464
24, 0, 13.8760
25, 0, 16.5465
26, 0, 17.0309
27, 0, 16.6135
28, 0, 16.0555
29, 0, 15.3834
30, 0, 14.8467
31, 0, 14.3337
32, 0, 13.8515
33, 0, 16.4817
34, 0, 16.8035
35, 0, 16.4400
36, 0, 15.9716
37, 0, 15.3041
38, 0, 14.7400
39, 0, 14.3220
40, 0, 13.7359
41, 0, 16.5078
42, 0, 17.0096
43, 0, 16.6212
44, 0, 15.9179
45, 0, 15.3453
46, 0, 14.8188
47, 0, 14.2674
48, 0, 13.8136
49, 0, 16.3726
50, 0, 16.8822
51, 0, 16.5141
52, 0, 15.8824
53, 0, 15.3690
54, 0, 14.7651
55, 0, 14.2044
56, 0, 13.8311
57, 0, 16.3051
58, 0, 16.7535
59, 0, 16.4239
60, 0, 15.8888
61, 0, 15.3649
62, 0, 14.7790
63, 0, 14.3595
64, 0, 13.8364
65, 0, 16.3254
66, 0, 16.7491
67, 0, 16.3602
68, 0, 15.7576
69, 0, 15.2348
70, 0, 14.6870
71, 0, 14.1424
72, 0, 13.8565
73, 0, 16.2885
74, 0, 16.7163
75, 0, 16.2289
76, 0, 15.8394
77, 0, 15.2565
78, 0, 14.6654
79, 0, 14.1098
80, 0, 13.6351
81, 0, 16.2813
82, 0, 16.5803
83, 0, 16.1140
84, 0, 15.6239
85, 0, 15.0863
86, 0, 14.5898
87, 0, 14.1780
88, 0, 13.7235
89, 0, 16.1373
90, 0, 16.8203
91, 0, 16.1715
92, 0, 15.7246
93, 0, 15.3097
94, 0, 14.6000
95, 0, 14.1389
96, 0, 13.7309
97, 0, 16.1959
98, 0, 16.7621
99, 0, 16.2402
100, 0, 15.5903
101, 0, 15.0635
102, 0, 13.7751
103, 0, 14.0131
104, 0, 13.7708
105, 0, 16.2872
106, 0, 16.5661
107, 0, 16.2156
108, 0, 15.6754
109, 0, 15.1415
110, 0, 14.5806
111, 0, 14.0736
112, 0, 13.8118
113, 0, 16.3131
114, 0, 16.4111
115, 0, 16.1448
116, 0, 15.7614
117, 0, 15.1907
118, 0, 14.2923
119, 0, 14.0221
120, 0, 13.6176
121, 0, 16.3969
122, 0, 16.8486
123, 0, 16.1507
124, 0, 15.6332
125, 0, 15.1251
