Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.0898
3, 0, 16.7202
4, 0, 15.7331
5, 0, 15.3563
6, 0, 14.7865
7, 0, 16.6373
8, 0, 17.1862
9, 0, 16.5409
10, 0, 16.0072
11, 0, 15.3727
12, 0, 14.6942
13, 0, 14.2233
14, 0, 13.7276
15, 0, 16.5176
16, 0, 17.1052
17, 0, 16.4003
18, 0, 16.0068
19, 0, 15.2318
20, 0, 14.5384
21, 0, 14.2310
22, 0, 13.8350
23, 0, 16.4365
24, 0, 16.7507
25, 0, 16.4557
26, 0, 15.6839
27, 0, 15.2307
28, 0, 14.7247
29, 0, 14.1345
30, 0, 13.8406
31, 0, 16.5402
32, 0, 16.8855
33, 0, 16.4032
34, 0, 15.8271
35, 0, 15.3521
36, 0, 14.7036
37, 0, 14.1533
38, 0, 13.7963
39, 0, 16.4655
40, 0, 16.5851
41, 0, 16.4979
42, 0, 15.9301
43, 0, 15.3925
44, 0, 14.6588
45, 0, 14.1671
46, 0, 13.8256
47, 0, 16.4489
48, 0, 16.7666
49, 0, 16.3899
50, 0, 15.8641
51, 0, 15.3941
52, 0, 14.6143
53, 0, 14.1653
54, 0, 13.6099
55, 0, 16.2579
56, 0, 16.8273
57, 0, 16.3713
58, 0, 15.6751
59, 0, 15.0707
60, 0, 14.6164
61, 0, 14.0859
62, 0, 13.6337
63, 0, 16.4212
64, 0, 16.2894
65, 0, 16.1580
66, 0, 15.7415
67, 0, 15.1999
68, 0, 14.5575
69, 0, 13.9312
70, 0, 13.6324
71, 0, 16.2648
72, 0, 16.7168
73, 0, 16.3045
74, 0, 15.6053
75, 0, 15.0153
76, 0, 14.4747
77, 0, 14.0024
78, 0, 13.5473
79, 0, 16.3382
80, 0, 16.5931
81, 0, 15.9961
82, 0, 15.4001
83, 0, 14.9484
84, 0, 14.2827
85, 0, 13.9531
86, 0, 13.5882
87, 0, 16.2332
88, 0, 16.8440
89, 0, 16.4084
90, 0, 15.8707
91, 0, 14.5663
92, 0, 14.3550
93, 0, 14.1407
94, 0, 13.5761
95, 0, 16.1913
96, 0, 16.5978
97, 0, 16.1867
98, 0, 15.7503
99, 0, 15.1120
100, 0, 14.4479
101, 0, 13.9082
102, 0, 13.4886
103, 0, 16.1329
104, 0, 16.2284
105, 0, 16.1113
106, 0, 15.5619
107, 0, 15.0777
108, 0, 14.5211
109, 0, 14.0738
110, 0, 13.7082
111, 0, 16.2132
112, 0, 16.7569
113, 0, 16.3640
114, 0, 15.5997
115, 0, 15.0442
116, 0, 14.6079
117, 0, 14.0525
118, 0, 12.8812
119, 0, 16.4645
120, 0, 16.6815
121, 0, 15.8763
122, 0, 15.6260
123, 0, 14.9353
124, 0, 14.4081
125, 0, 13.9954
126, 0, 13.6184
127, 0, 16.2125
128, 0, 16.5524
129, 0, 16.1692
130, 0, 15.7441
131, 0, 15.1291
132, 0, 14.5295
133, 0, 13.9942
134, 0, 13.6761
135, 0, 16.2347
136, 0, 16.1566
137, 0, 16.0089
138, 0, 15.4792
139, 0, 14.8144
140, 0, 14.4219
141, 0, 13.9735
142, 0, 13.5971
143, 0, 16.1501
144, 0, 16.5018
145, 0, 16.1780
146, 0, 15.6643
147, 0, 15.0488
148, 0, 14.5002
149, 0, 13.9939
150, 0, 13.5741
151, 0, 16.2112
152, 0, 16.7700
153, 0, 16.3790
154, 0, 15.8612
155, 0, 15.0070
156, 0, 14.6435
157, 0, 14.1945
158, 0, 13.6361
159, 0, 16.3314
160, 0, 16.5690
161, 0, 16.2676
162, 0, 15.6601
163, 0, 15.1996
164, 0, 14.5899
165, 0, 14.0587
166, 0, 13.6719
167, 0, 16.1571
168, 0, 16.5490
169, 0, 15.7920
170, 0, 15.5003
171, 0, 14.9882
172, 0, 14.4125
173, 0, 14.1230
174, 0, 13.6315
175, 0, 16.2040
176, 0, 16.4930
177, 0, 16.0345
178, 0, 15.5752
179, 0, 14.9602
180, 0, 14.4828
181, 0, 14.0659
182, 0, 13.6136
183, 0, 16.1275
184, 0, 16.5266
185, 0, 16.0336
186, 0, 15.6293
187, 0, 15.0591
188, 0, 14.4348
189, 0, 13.8635
190, 0, 13.5172
191, 0, 16.1231
192, 0, 16.5671
193, 0, 16.0070
194, 0, 15.7136
195, 0, 15.2411
196, 0, 14.6296
197, 0, 14.0327
198, 0, 13.6818
199, 0, 16.1081
200, 0, 16.6279
201, 0, 16.2063
202, 0, 15.5780
203, 0, 14.9950
204, 0, 14.4197
205, 0, 13.9458
206, 0, 13.4520
207, 0, 16.0516
208, 0, 16.0739
209, 0, 15.3602
210, 0, 15.0733
211, 0, 14.8687
212, 0, 14.1889
213, 0, 13.8723
214, 0, 13.5853
215, 0, 16.4227
216, 0, 17.0164
217, 0, 16.5549
218, 0, 15.8369
219, 0, 15.2955
220, 0, 14.6136
221, 0, 14.2508
222, 0, 13.7462
223, 0, 16.4582
224, 0, 16.5168
225, 0, 16.1381
226, 0, 15.7453
227, 0, 15.1620
228, 0, 14.6204
229, 0, 14.0996
230, 0, 13.6710
231, 0, 16.3760
232, 0, 16.8354
233, 0, 15.9506
234, 0, 14.9837
235, 0, 15.0465
236, 0, 14.6031
237, 0, 14.2036
238, 0, 13.7197
239, 0, 16.2884
240, 0, 16.8419
241, 0, 16.1344
242, 0, 15.7630
243, 0, 15.1052
244, 0, 14.5040
245, 0, 14.1146
246, 0, 13.7491
247, 0, 16.3722
248, 0, 16.8288
249, 0, 16.2372
250, 0, 15.7474
1, 1, 12.3816
2, 1, 13.2717
3, 1, 13.8355
4, 1, 13.7655
5, 1, 14.0585
6, 1, 13.9137
7, 1, 16.6373
8, 1, 17.6127
9, 1, 17.0221
10, 1, 16.8230
11, 1, 16.3874
12, 1, 15.9008
13, 1, 15.6963
14, 1, 15.2270
15, 1, 16.5176
16, 1, 17.4105
17, 1, 16.8982
18, 1, 16.8269
19, 1, 15.9935
20, 1, 15.6579
21, 1, 15.5566
22, 1, 15.3590
23, 1, 16.4365
24, 1, 17.1120
25, 1, 17.1063
26, 1, 16.6675
27, 1, 16.3862
28, 1, 16.0631
29, 1, 15.5654
30, 1, 15.4400
31, 1, 16.5402
32, 1, 17.2291
33, 1, 17.0048
34, 1, 16.2061
35, 1, 16.3201
36, 1, 15.9475
37, 1, 15.5465
38, 1, 15.3055
39, 1, 16.4655
40, 1, 16.5401
41, 1, 16.8321
42, 1, 16.5875
43, 1, 16.4272
44, 1, 15.8269
45, 1, 15.5982
46, 1, 15.3843
47, 1, 16.4489
48, 1, 16.9846
49, 1, 16.4244
50, 1, 16.5123
51, 1, 16.3133
52, 1, 15.7437
53, 1, 15.6207
54, 1, 15.0202
55, 1, 16.2579
56, 1, 17.1143
57, 1, 16.9431
58, 1, 16.1702
59, 1, 15.7133
60, 1, 15.6500
61, 1, 15.1803
62, 1, 14.7565
63, 1, 16.4212
64, 1, 16.2759
65, 1, 16.5487
66, 1, 16.3814
67, 1, 16.2664
68, 1, 15.8642
69, 1, 15.0663
70, 1, 15.1395
71, 1, 16.2648
72, 1, 16.9551
73, 1, 16.8472
74, 1, 16.3949
75, 1, 15.3973
76, 1, 15.4731
77, 1, 15.3356
78, 1, 15.0302
79, 1, 16.3382
80, 1, 16.7874
81, 1, 16.3014
82, 1, 15.8710
83, 1, 15.8484
84, 1, 15.2565
85, 1, 15.2390
86, 1, 15.1732
87, 1, 16.2332
88, 1, 17.0423
89, 1, 16.7943
90, 1, 16.4796
91, 1, 14.6698
92, 1, 14.8575
93, 1, 14.9920
94, 1, 14.5518
95, 1, 16.1913
96, 1, 16.3962
97, 1, 16.3678
98, 1, 16.0234
99, 1, 15.4685
100, 1, 15.0803
101, 1, 14.5508
102, 1, 14.2628
103, 1, 16.1329
104, 1, 15.5011
105, 1, 15.8151
106, 1, 15.5121
107, 1, 15.4850
108, 1, 14.7466
109, 1, 14.6520
110, 1, 14.5096
111, 1, 16.2132
112, 1, 16.6454
113, 1, 16.4944
114, 1, 15.6434
115, 1, 15.2103
116, 1, 15.1936
117, 1, 15.1005
118, 1, 13.5407
119, 1, 16.4645
120, 1, 16.5053
121, 1, 16.0430
122, 1, 15.9976
123, 1, 15.3289
124, 1, 15.0007
125, 1, 14.7095
126, 1, 14.5472
127, 1, 16.2125
128, 1, 16.5042
129, 1, 16.1898
130, 1, 16.1835
131, 1, 15.5810
132, 1, 15.3426
133, 1, 14.7185
134, 1, 14.5018
135, 1, 16.2347
136, 1, 15.9146
137, 1, 16.1162
138, 1, 15.6647
139, 1, 15.2984
140, 1, 15.0146
141, 1, 14.8119
142, 1, 14.7458
143, 1, 16.1501
144, 1, 16.2641
145, 1, 16.2745
146, 1, 15.9379
147, 1, 15.6339
148, 1, 15.2252
149, 1, 14.8203
150, 1, 14.4650
