Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1539
3, 0, 16.7299
4, 0, 15.8951
5, 0, 16.6070
6, 0, 16.8653
7, 0, 16.6481
8, 0, 16.1034
9, 0, 15.3936
10, 0, 14.8267
11, 0, 14.2660
12, 0, 13.7068
13, 0, 16.5401
14, 0, 16.8438
15, 0, 16.3777
16, 0, 15.9436
17, 0, 15.2136
18, 0, 14.7352
19, 0, 14.1351
20, 0, 13.7940
21, 0, 16.4729
22, 0, 16.9953
23, 0, 16.5984
24, 0, 16.0636
25, 0, 15.4339
26, 0, 14.7010
27, 0, 14.2771
28, 0, 13.8579
29, 0, 16.4248
30, 0, 17.0506
31, 0, 16.4041
32, 0, 15.7978
33, 0, 15.1609
34, 0, 14.7106
35, 0, 14.2394
36, 0, 13.8357
37, 0, 16.4063
38, 0, 16.8281
39, 0, 16.3026
40, 0, 15.6953
41, 0, 15.3733
42, 0, 14.7448
43, 0, 14.2541
44, 0, 13.8924
45, 0, 16.4418
46, 0, 16.8882
47, 0, 16.4338
48, 0, 15.8635
49, 0, 15.3072
50, 0, 14.7475
51, 0, 14.2653
52, 0, 13.8755
53, 0, 16.4367
54, 0, 16.7487
55, 0, 16.3606
56, 0, 15.8469
57, 0, 15.1867
58, 0, 14.6671
59, 0, 14.2353
60, 0, 13.8387
61, 0, 16.4375
62, 0, 16.6478
63, 0, 16.4116
64, 0, 15.7111
65, 0, 15.1968
66, 0, 14.6595
67, 0, 14.2001
68, 0, 13.7140
69, 0, 16.3200
70, 0, 16.8039
71, 0, 16.2569
72, 0, 15.9250
73, 0, 15.3037
74, 0, 14.5612
75, 0, 14.1719
76, 0, 13.8522
77, 0, 16.3045
78, 0, 16.7589
79, 0, 16.1764
80, 0, 15.5907
81, 0, 15.0101
82, 0, 14.5285
83, 0, 14.0574
84, 0, 13.6670
85, 0, 16.1159
86, 0, 16.7979
87, 0, 16.2959
88, 0, 15.8079
89, 0, 15.2174
90, 0, 14.6090
91, 0, 14.2409
92, 0, 13.8282
93, 0, 16.3771
94, 0, 16.5021
95, 0, 16.1153
96, 0, 15.6239
97, 0, 15.0504
98, 0, 14.6052
99, 0, 14.0937
100, 0, 13.6432
101, 0, 16.1584
102, 0, 16.4950
103, 0, 16.0737
104, 0, 15.6365
105, 0, 15.2509
106, 0, 14.5799
107, 0, 14.1222
108, 0, 13.7620
109, 0, 16.2417
110, 0, 16.7055
111, 0, 16.2129
112, 0, 15.8529
113, 0, 15.2861
114, 0, 14.5506
