channel_000:[-0.8486637473106384, 0.9188438653945923]
channel_001:[-99.68645477294922, 40.41643142700195]
channel_002:[-0.6873972415924072, 0.8539249897003174]
channel_003:[-0.5783429145812988, 0.9250817894935608]
channel_004:[-0.6408514976501465, 1.013065218925476]
channel_005:[-0.663610577583313, 0.8384979963302612]
channel_006:[-1.0676170587539673, 0.5981456637382507]
channel_007:[-0.786849319934845, 0.5715153217315674]
channel_008:[-0.6687231063842773, 0.7862833142280579]
channel_009:[-0.7276632189750671, 0.6613638997077942]
channel_010:[-0.6874029636383057, 0.8630984425544739]
channel_011:[-0.7852221727371216, 0.7433801889419556]
channel_012:[-0.7700362205505371, 0.7277393341064453]
channel_013:[-0.6626728773117065, 0.7048159837722778]
channel_014:[-0.792858362197876, 0.688601553440094]
channel_015:[-0.7916544675827026, 1.022825837135315]
channel_016:[-0.955584704875946, 0.6764782667160034]
channel_017:[-0.735710620880127, 0.9321538805961609]
channel_018:[-0.5922792553901672, 0.8565227389335632]
channel_019:[-0.708904504776001, 0.7539606094360352]
channel_020:[-0.7288340926170349, 0.6360790133476257]
channel_021:[-0.775923490524292, 0.5914025902748108]
channel_022:[-49.53746795654297, 74.70427703857422]
channel_023:[-0.38098466396331787, 1.483945369720459]
channel_024:[-0.8430781364440918, 0.714910626411438]
channel_025:[-0.9833781719207764, 0.8351992964744568]
channel_026:[-0.8183362483978271, 0.6823385953903198]
channel_027:[-0.266213059425354, 1.4125969409942627]
channel_028:[-0.7199109792709351, 0.645931601524353]
channel_029:[-0.8762595653533936, 0.8085037469863892]
channel_030:[-1.122624158859253, 0.8141437768936157]
channel_031:[-0.7774755954742432, 0.9407055377960205]
channel_032:[-0.6579171419143677, 1.0054466724395752]
channel_033:[-0.6763820052146912, 0.945087194442749]
channel_034:[-0.7985203266143799, 0.660003662109375]
channel_035:[-0.6153786778450012, 0.9566976428031921]
channel_036:[-0.7633920907974243, 0.6608455181121826]
channel_037:[-0.9078980088233948, 0.5487989783287048]
channel_038:[-0.7734395265579224, 0.7786486148834229]
channel_039:[-0.8421899676322937, 0.7524130344390869]
channel_040:[-0.6946712732315063, 0.7882226705551147]
channel_041:[-0.7652625441551208, 1.1034172773361206]
channel_042:[-0.6650171279907227, 1.02303147315979]
channel_043:[-78.19023132324219, 86.50274658203125]
channel_044:[-0.6487807631492615, 0.7765738368034363]
channel_045:[-0.9182953834533691, 0.6754872798919678]
channel_046:[-0.9011756181716919, 0.8261317014694214]
channel_047:[-0.8537508249282837, 0.7272102236747742]
channel_048:[-0.8992225527763367, 0.6856746673583984]
channel_049:[-0.6781343817710876, 0.8964959979057312]
channel_050:[-0.7534549832344055, 0.807938814163208]
channel_051:[-0.7281000018119812, 0.7622790932655334]
channel_052:[-0.7445980310440063, 0.7265283465385437]
channel_053:[-0.8163949251174927, 0.7382113933563232]
channel_054:[-0.8966672420501709, 0.743323802947998]
channel_055:[-0.7385419607162476, 1.2031503915786743]
channel_056:[-0.7933312654495239, 0.7838764190673828]
channel_057:[-0.7932305932044983, 0.7677358388900757]
channel_058:[-0.6931664943695068, 0.6076916456222534]
channel_059:[-0.9162460565567017, 0.6727606058120728]
channel_060:[-0.8942486047744751, 0.6444625854492188]
channel_061:[-0.9654412269592285, 0.711383581161499]
channel_062:[-0.7589993476867676, 0.628039538860321]
channel_063:[-0.6727219820022583, 0.7087290287017822]
channel_064:[-0.7413366436958313, 0.8887064456939697]
channel_065:[-0.6198353171348572, 0.7087609767913818]
channel_066:[-0.7451781034469604, 0.7490614652633667]
channel_067:[-1.0227628946304321, 0.5840712189674377]
channel_068:[-0.8394713401794434, 0.7229260802268982]
channel_069:[-0.8527088165283203, 0.685656726360321]
channel_070:[-30.882463455200195, 28.551973342895508]
channel_071:[-0.883253812789917, 0.9390789270401001]
channel_072:[-0.6698514819145203, 0.6756772994995117]
channel_073:[-0.714946985244751, 0.7856588363647461]
channel_074:[-0.6977575421333313, 1.202441692352295]
channel_075:[-1.005012035369873, 0.9051206707954407]
channel_076:[-0.6940104961395264, 0.8334323167800903]
channel_077:[-0.7717509269714355, 0.9635889530181885]
channel_078:[-0.8231678009033203, 0.6571255922317505]
channel_079:[-1.5306724309921265, 0.6552093029022217]
channel_080:[-0.8867939710617065, 0.8558558821678162]
channel_081:[-1.2365492582321167, 0.39515310525894165]
channel_082:[-0.6682869791984558, 0.7283581495285034]
channel_083:[-0.5980372428894043, 0.7408649921417236]
channel_084:[-0.9086438417434692, 0.6433320641517639]
channel_085:[-1.068084716796875, 0.7329229116439819]
channel_086:[-0.8208218216896057, 0.818681538105011]
channel_087:[-0.8020170331001282, 0.7645831108093262]
channel_088:[-0.7365315556526184, 0.829918384552002]
channel_089:[-0.7618424892425537, 0.7767387628555298]
channel_090:[-0.7992225885391235, 0.9710604548454285]
channel_091:[-60.10367965698242, 66.83439636230469]
channel_092:[-0.6147274971008301, 1.0009700059890747]
channel_093:[-0.6351048946380615, 0.7529284954071045]
channel_094:[-0.75034099817276, 0.8464227914810181]
channel_095:[-215.84715270996094, 379.874755859375]
channel_096:[-0.9347083568572998, 0.8907575607299805]
channel_097:[-0.6682207584381104, 0.8185169696807861]
channel_098:[-0.9363710880279541, 0.6480399966239929]
channel_099:[-0.7261309623718262, 0.8424311876296997]
channel_100:[-0.8089761137962341, 0.8804292678833008]
channel_101:[-0.6584587097167969, 0.7054622173309326]
channel_102:[-0.7873396873474121, 0.6127622723579407]
channel_103:[-0.6794726848602295, 0.9950573444366455]
channel_104:[-0.7909051179885864, 0.7176350951194763]
channel_105:[-0.6514157056808472, 0.7153571248054504]
channel_106:[-0.6178332567214966, 0.8284846544265747]
channel_107:[-0.6657853722572327, 0.8463444113731384]
channel_108:[-0.8768825531005859, 0.7965999841690063]
channel_109:[-0.7478562593460083, 0.7550548315048218]
channel_110:[-0.684518575668335, 0.8386393785476685]
channel_111:[-0.6614004373550415, 0.7808944582939148]
channel_112:[-0.7171905636787415, 0.6224533319473267]
channel_113:[-0.8078774213790894, 0.7178558111190796]
channel_114:[-49.99983215332031, 21.233642578125]
channel_115:[-0.7427483797073364, 0.6054535508155823]
channel_116:[-0.8121421933174133, 0.618081271648407]
channel_117:[-0.6322965025901794, 0.9691915512084961]
channel_118:[-0.7112172245979309, 0.8376288414001465]
channel_119:[-0.693273663520813, 0.6864498853683472]
channel_120:[-0.7733416557312012, 0.7951473593711853]
channel_121:[-0.7311089038848877, 0.7393636107444763]
channel_122:[-0.542995035648346, 0.8712114691734314]
channel_123:[-0.6810877323150635, 0.6577990055084229]
channel_124:[-0.8781707286834717, 0.7122003436088562]
channel_125:[-403.9454345703125, 284.72430419921875]
channel_126:[-1.3543281555175781, 0.8092234134674072]
channel_127:[-0.7645394802093506, 0.7346917986869812]
