Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 16.2377
3, 0, 15.9725
4, 0, 15.0766
5, 0, 14.5942
6, 0, 13.6628
7, 0, 12.9680
8, 0, 12.4832
9, 0, 16.4717
10, 0, 16.9725
11, 0, 16.1445
12, 0, 15.4624
13, 0, 15.0393
14, 0, 14.1112
15, 0, 13.5623
16, 0, 13.2000
17, 0, 16.4228
18, 0, 16.9360
19, 0, 15.4467
20, 0, 15.0321
21, 0, 14.6679
22, 0, 13.9907
23, 0, 13.6763
24, 0, 13.2979
25, 0, 16.5465
26, 0, 16.7973
27, 0, 16.0504
28, 0, 15.3008
29, 0, 14.7772
30, 0, 14.2743
31, 0, 13.5904
32, 0, 13.1769
33, 0, 16.4817
34, 0, 16.3383
35, 0, 16.3571
36, 0, 15.7207
37, 0, 15.0671
38, 0, 14.5135
39, 0, 13.7384
40, 0, 13.2166
41, 0, 16.5078
42, 0, 16.8109
43, 0, 16.4467
44, 0, 15.6370
45, 0, 15.0714
46, 0, 14.5407
47, 0, 13.9544
48, 0, 13.2566
49, 0, 16.3726
50, 0, 16.7356
51, 0, 16.2241
52, 0, 15.4557
53, 0, 14.9984
54, 0, 14.1317
55, 0, 13.8910
56, 0, 13.4619
57, 0, 16.3051
58, 0, 16.0377
59, 0, 15.7203
60, 0, 15.5125
61, 0, 14.7930
62, 0, 14.0992
63, 0, 13.8482
64, 0, 13.2110
65, 0, 16.3254
66, 0, 16.6007
67, 0, 16.2242
68, 0, 15.4162
69, 0, 14.6290
70, 0, 14.0830
71, 0, 13.3847
72, 0, 12.8517
73, 0, 16.2885
74, 0, 16.3635
75, 0, 15.5458
76, 0, 15.2294
77, 0, 14.6301
78, 0, 13.6473
79, 0, 13.0969
80, 0, 12.6103
81, 0, 16.2813
82, 0, 16.3676
83, 0, 15.9482
84, 0, 15.0774
85, 0, 14.7630
86, 0, 14.3099
87, 0, 13.7186
88, 0, 13.2522
89, 0, 16.1373
90, 0, 16.6884
91, 0, 14.1391
92, 0, 13.5332
93, 0, 13.3916
94, 0, 12.8540
95, 0, 12.4488
96, 0, 11.9502
97, 0, 16.1959
98, 0, 16.4529
99, 0, 15.7141
100, 0, 15.2109
101, 0, 14.3452
102, 0, 13.7414
103, 0, 13.5061
104, 0, 13.1234
105, 0, 16.2872
106, 0, 16.3638
107, 0, 15.9232
108, 0, 14.9774
109, 0, 14.7176
110, 0, 14.1946
111, 0, 13.5811
112, 0, 13.3884
113, 0, 16.3131
114, 0, 16.2077
115, 0, 15.7664
116, 0, 15.5560
117, 0, 15.0464
118, 0, 13.1352
119, 0, 12.8781
120, 0, 12.4105
121, 0, 16.3969
122, 0, 16.7672
123, 0, 15.6685
124, 0, 15.0003
125, 0, 14.4287
126, 0, 13.9870
127, 0, 13.6329
128, 0, 13.0622
129, 0, 16.3115
130, 0, 16.8265
131, 0, 15.9901
132, 0, 15.4729
133, 0, 14.5657
134, 0, 13.9451
135, 0, 13.5507
136, 0, 13.0798
137, 0, 16.2058
138, 0, 16.2554
139, 0, 15.6952
140, 0, 15.2146
141, 0, 14.6248
142, 0, 14.2424
143, 0, 13.4833
144, 0, 13.2113
145, 0, 16.2616
146, 0, 16.1774
147, 0, 15.6663
148, 0, 14.9417
149, 0, 14.0490
150, 0, 13.1313
151, 0, 12.5692
152, 0, 12.2878
153, 0, 16.3747
154, 0, 15.8930
155, 0, 15.0607
156, 0, 14.8363
157, 0, 14.6442
158, 0, 13.8815
159, 0, 13.2152
160, 0, 12.9353
161, 0, 16.3012
162, 0, 16.4915
163, 0, 16.0426
164, 0, 14.7919
165, 0, 14.1091
166, 0, 13.3112
167, 0, 13.0596
168, 0, 12.5225
169, 0, 16.1701
170, 0, 15.6583
171, 0, 14.8863
172, 0, 14.7771
173, 0, 13.8375
174, 0, 13.4343
175, 0, 12.9844
176, 0, 12.2405
177, 0, 16.1001
178, 0, 15.0422
179, 0, 14.4291
180, 0, 14.5302
181, 0, 14.1355
182, 0, 13.5332
183, 0, 13.0749
184, 0, 12.7509
185, 0, 16.1893
186, 0, 15.9162
187, 0, 15.5662
188, 0, 14.7398
189, 0, 14.1398
190, 0, 13.6396
191, 0, 13.2698
192, 0, 12.7472
193, 0, 16.1516
194, 0, 15.7534
195, 0, 15.6270
196, 0, 15.0316
197, 0, 14.4392
198, 0, 13.8158
199, 0, 13.1886
200, 0, 12.8817
201, 0, 16.1739
202, 0, 15.5634
203, 0, 15.4111
204, 0, 15.0520
205, 0, 14.6050
206, 0, 14.1107
207, 0, 13.6363
208, 0, 13.0540
209, 0, 16.3619
210, 0, 15.6072
211, 0, 15.5239
212, 0, 15.1746
213, 0, 14.4081
214, 0, 14.1074
215, 0, 13.6560
216, 0, 13.3159
217, 0, 16.4783
218, 0, 16.4357
219, 0, 15.9435
220, 0, 14.8016
221, 0, 14.6175
222, 0, 13.7461
223, 0, 13.7038
224, 0, 13.0930
225, 0, 16.4007
226, 0, 16.9683
227, 0, 16.0624
228, 0, 15.5240
229, 0, 14.8182
230, 0, 14.0929
231, 0, 13.8117
232, 0, 13.4343
233, 0, 16.4114
234, 0, 16.5578
235, 0, 15.8854
236, 0, 15.5045
237, 0, 14.9755
238, 0, 14.1976
239, 0, 13.4773
240, 0, 13.2265
241, 0, 16.2146
242, 0, 16.7756
243, 0, 15.1319
244, 0, 14.6634
245, 0, 14.2412
246, 0, 13.7933
247, 0, 13.5282
248, 0, 12.8821
249, 0, 16.2435
250, 0, 15.7626
1, 1, 16.8027
2, 1, 16.6825
3, 1, 16.7842
4, 1, 15.8913
5, 1, 15.8030
6, 1, 15.1909
7, 1, 14.9678
8, 1, 14.7914
9, 1, 16.4717
10, 1, 17.0079
11, 1, 16.4013
12, 1, 15.7336
13, 1, 15.1016
14, 1, 14.3239
15, 1, 13.7759
16, 1, 13.5131
17, 1, 16.4228
18, 1, 17.1279
19, 1, 15.7103
20, 1, 15.5011
21, 1, 15.5490
22, 1, 15.1572
23, 1, 14.9104
24, 1, 14.5589
25, 1, 16.5465
26, 1, 17.0903
27, 1, 16.6853
28, 1, 16.1219
29, 1, 15.7863
30, 1, 15.5808
31, 1, 15.0307
32, 1, 14.6274
33, 1, 16.4817
34, 1, 15.9762
35, 1, 16.4356
36, 1, 16.3088
37, 1, 16.0147
38, 1, 15.5890
39, 1, 14.8034
40, 1, 14.2913
41, 1, 16.5078
42, 1, 16.8385
43, 1, 16.5785
44, 1, 15.7092
45, 1, 15.4661
46, 1, 15.2340
47, 1, 14.9468
48, 1, 14.1747
49, 1, 16.3726
50, 1, 16.9809
51, 1, 16.7766
52, 1, 15.9040
53, 1, 15.8305
54, 1, 14.8699
55, 1, 14.4982
56, 1, 14.4321
57, 1, 16.3051
58, 1, 16.3020
59, 1, 16.0043
60, 1, 15.8494
61, 1, 15.1270
62, 1, 14.6382
63, 1, 14.8209
64, 1, 13.9777
65, 1, 16.3254
66, 1, 16.2741
67, 1, 16.0802
68, 1, 15.5037
69, 1, 14.6393
70, 1, 14.2148
71, 1, 13.4095
72, 1, 13.0251
73, 1, 16.2885
74, 1, 16.2406
75, 1, 15.1567
76, 1, 14.9330
77, 1, 14.8640
78, 1, 14.4763
79, 1, 14.0006
80, 1, 13.5669
81, 1, 16.2813
82, 1, 15.8018
83, 1, 15.6853
84, 1, 15.0682
85, 1, 14.7330
86, 1, 14.3706
87, 1, 13.5965
88, 1, 13.4448
89, 1, 16.1373
90, 1, 16.7643
91, 1, 14.1700
92, 1, 13.8092
93, 1, 13.8919
94, 1, 13.3684
95, 1, 13.0380
96, 1, 12.6385
97, 1, 16.1959
98, 1, 15.6332
99, 1, 14.4009
100, 1, 13.7462
101, 1, 13.6415
102, 1, 13.1231
103, 1, 12.9526
104, 1, 12.7292
105, 1, 16.2872
106, 1, 15.6356
107, 1, 15.5404
108, 1, 14.5334
109, 1, 14.4118
110, 1, 13.9550
111, 1, 13.5144
112, 1, 13.2793
113, 1, 16.3131
114, 1, 15.4545
115, 1, 14.9032
116, 1, 14.8412
117, 1, 14.7374
118, 1, 13.0923
119, 1, 12.8777
120, 1, 12.3751
121, 1, 16.3969
122, 1, 16.8277
123, 1, 15.6059
124, 1, 15.1486
125, 1, 14.8159
126, 1, 14.5580
127, 1, 14.6438
128, 1, 14.2505
129, 1, 16.3115
130, 1, 16.8576
131, 1, 15.8549
132, 1, 15.5988
133, 1, 15.0095
134, 1, 14.5957
135, 1, 14.2352
136, 1, 13.8273
137, 1, 16.2058
138, 1, 15.9298
139, 1, 15.4098
140, 1, 15.1465
141, 1, 14.7485
142, 1, 14.5454
143, 1, 13.9480
144, 1, 13.8168
145, 1, 16.2616
146, 1, 16.3593
147, 1, 16.1367
148, 1, 15.5969
149, 1, 14.9089
150, 1, 14.2318
151, 1, 14.1232
152, 1, 14.1070
153, 1, 16.3747
154, 1, 16.3310
155, 1, 15.4776
156, 1, 15.2159
157, 1, 15.3377
158, 1, 14.7772
159, 1, 14.1644
160, 1, 13.7008
161, 1, 16.3012
162, 1, 16.3229
163, 1, 15.8503
164, 1, 14.8366
165, 1, 14.1977
166, 1, 14.0302
167, 1, 13.7505
168, 1, 13.4891
169, 1, 16.1701
170, 1, 15.2337
171, 1, 14.6349
172, 1, 14.6258
173, 1, 14.4519
174, 1, 14.5304
175, 1, 14.3652
176, 1, 13.9721
177, 1, 16.1001
178, 1, 15.6376
179, 1, 15.2302
180, 1, 14.8821
181, 1, 14.6007
182, 1, 14.2535
183, 1, 13.6947
184, 1, 13.0286
185, 1, 16.1893
