Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 16.7377
3, 0, 16.5010
4, 0, 15.6302
5, 0, 16.6070
6, 0, 16.6842
7, 0, 16.6436
8, 0, 16.0859
9, 0, 15.2828
10, 0, 14.7804
11, 0, 14.2326
12, 0, 13.6641
13, 0, 16.5401
14, 0, 16.7113
15, 0, 16.3236
16, 0, 15.9455
17, 0, 15.1308
18, 0, 14.6074
19, 0, 13.6589
20, 0, 13.2973
21, 0, 16.4729
22, 0, 16.9779
23, 0, 16.5237
24, 0, 15.8627
25, 0, 15.2860
26, 0, 14.5138
27, 0, 13.9535
28, 0, 13.4585
29, 0, 16.4248
30, 0, 16.8566
31, 0, 15.7692
32, 0, 14.8152
33, 0, 14.1197
34, 0, 13.3113
35, 0, 12.8906
36, 0, 12.5572
37, 0, 16.4063
38, 0, 16.3783
39, 0, 15.5466
40, 0, 14.9930
41, 0, 14.6228
42, 0, 13.9193
43, 0, 13.5451
44, 0, 12.8956
45, 0, 16.4418
46, 0, 16.3991
47, 0, 15.8567
48, 0, 14.9724
49, 0, 14.6311
50, 0, 13.9981
51, 0, 13.4048
52, 0, 12.5551
53, 0, 16.4367
54, 0, 15.4645
55, 0, 15.2161
56, 0, 14.7095
57, 0, 14.2336
58, 0, 13.6511
59, 0, 12.9565
60, 0, 12.5809
61, 0, 16.4375
62, 0, 15.5697
63, 0, 15.7043
64, 0, 14.7333
65, 0, 14.4438
66, 0, 13.9763
67, 0, 13.5557
68, 0, 13.1061
69, 0, 16.3200
70, 0, 16.2889
71, 0, 15.5505
72, 0, 15.3012
73, 0, 14.8933
74, 0, 14.2127
75, 0, 13.6534
76, 0, 13.3920
77, 0, 16.3045
78, 0, 16.1138
79, 0, 15.6307
80, 0, 15.0383
81, 0, 14.4195
82, 0, 13.8495
83, 0, 13.6553
84, 0, 13.1230
85, 0, 16.1159
86, 0, 16.7542
87, 0, 16.1648
88, 0, 15.7300
89, 0, 15.1108
90, 0, 14.5011
91, 0, 13.1032
92, 0, 12.9553
93, 0, 16.3771
94, 0, 16.2004
95, 0, 15.7891
96, 0, 15.0985
97, 0, 14.4651
98, 0, 13.9015
99, 0, 13.0660
100, 0, 12.4115
101, 0, 16.1584
102, 0, 15.4821
103, 0, 15.4702
104, 0, 14.4535
105, 0, 14.3786
106, 0, 13.7108
107, 0, 13.2503
108, 0, 12.3393
109, 0, 16.2417
110, 0, 16.1670
111, 0, 14.8732
112, 0, 14.8062
113, 0, 14.7033
114, 0, 13.9869
115, 0, 13.1915
116, 0, 12.8880
117, 0, 16.2842
118, 0, 13.7614
119, 0, 13.8591
120, 0, 13.7933
121, 0, 13.5478
122, 0, 13.3008
123, 0, 12.7618
124, 0, 12.3516
125, 0, 16.3040
126, 0, 16.2654
127, 0, 15.9867
128, 0, 15.5275
129, 0, 14.8222
130, 0, 14.4248
131, 0, 13.8418
132, 0, 13.4557
133, 0, 16.2336
134, 0, 16.2543
135, 0, 15.8989
136, 0, 14.9874
137, 0, 14.7405
138, 0, 14.1156
139, 0, 13.7881
140, 0, 13.5611
141, 0, 16.1906
142, 0, 16.6276
143, 0, 15.8470
144, 0, 15.6375
145, 0, 14.9293
146, 0, 14.2754
147, 0, 13.7532
148, 0, 13.4095
149, 0, 16.1166
150, 0, 16.4577
151, 0, 16.1119
152, 0, 15.6028
153, 0, 14.8047
154, 0, 14.2188
155, 0, 13.4683
156, 0, 13.3353
157, 0, 16.3350
158, 0, 16.3218
159, 0, 16.1826
160, 0, 15.5117
161, 0, 15.1365
162, 0, 14.4492
163, 0, 14.0689
164, 0, 13.6754
165, 0, 16.1853
166, 0, 16.4698
167, 0, 16.1328
168, 0, 15.5826
169, 0, 14.8655
170, 0, 14.3424
171, 0, 13.6468
172, 0, 13.4240
173, 0, 16.2768
174, 0, 16.2035
175, 0, 15.6050
176, 0, 14.6347
177, 0, 14.3085
178, 0, 13.6454
179, 0, 13.1965
180, 0, 12.8292
181, 0, 16.1374
182, 0, 16.3299
183, 0, 15.7135
184, 0, 15.0884
185, 0, 14.4412
186, 0, 13.8416
187, 0, 13.4260
188, 0, 13.0854
189, 0, 16.1343
190, 0, 16.4236
191, 0, 15.9980
192, 0, 15.4541
193, 0, 14.8799
194, 0, 14.2421
195, 0, 13.8545
196, 0, 13.5149
197, 0, 16.0852
198, 0, 16.5480
199, 0, 16.0554
200, 0, 15.5862
201, 0, 15.1158
202, 0, 14.3018
203, 0, 13.5814
204, 0, 13.1474
205, 0, 16.1093
206, 0, 16.1875
207, 0, 15.9124
208, 0, 15.0703
209, 0, 14.3233
210, 0, 13.7319
211, 0, 13.4013
212, 0, 13.0575
213, 0, 16.3875
214, 0, 16.3144
215, 0, 15.3458
216, 0, 14.8914
217, 0, 14.0981
218, 0, 13.1738
219, 0, 12.5938
220, 0, 12.0949
221, 0, 16.5050
222, 0, 15.3737
223, 0, 15.2721
224, 0, 14.8043
225, 0, 14.0106
226, 0, 13.7453
227, 0, 13.2648
228, 0, 12.7624
229, 0, 16.3450
230, 0, 15.7133
231, 0, 15.3300
232, 0, 14.7927
233, 0, 14.2024
234, 0, 13.7489
235, 0, 13.1678
236, 0, 12.6124
237, 0, 16.3720
238, 0, 15.8029
239, 0, 15.0293
240, 0, 14.6484
241, 0, 13.8191
242, 0, 13.5201
243, 0, 12.7231
244, 0, 12.3865
245, 0, 16.2685
246, 0, 16.6793
247, 0, 16.1007
248, 0, 15.3153
249, 0, 14.5027
250, 0, 13.7279
1, 1, 11.4876
2, 1, 11.5672
3, 1, 11.7633
4, 1, 11.6666
5, 1, 16.6070
6, 1, 16.3813
7, 1, 16.2799
8, 1, 16.1715
9, 1, 15.6473
10, 1, 15.4293
11, 1, 15.1371
12, 1, 14.6212
13, 1, 16.5401
14, 1, 16.6568
15, 1, 16.4644
16, 1, 16.2013
17, 1, 15.5386
18, 1, 15.4789
19, 1, 14.6951
20, 1, 14.2616
21, 1, 16.4729
22, 1, 17.1085
23, 1, 16.9904
24, 1, 16.2622
25, 1, 15.9983
26, 1, 15.4024
27, 1, 14.9752
28, 1, 14.7444
29, 1, 16.4248
30, 1, 17.1476
31, 1, 16.3922
32, 1, 15.5890
33, 1, 15.1697
34, 1, 14.3897
35, 1, 14.0630
36, 1, 13.7414
37, 1, 16.4063
38, 1, 16.5814
39, 1, 15.8431
40, 1, 15.5114
41, 1, 15.3012
42, 1, 14.6483
43, 1, 14.3798
44, 1, 13.8890
45, 1, 16.4418
46, 1, 16.4444
47, 1, 16.2295
48, 1, 15.5950
49, 1, 15.3482
50, 1, 14.9459
51, 1, 14.6698
52, 1, 13.7460
53, 1, 16.4367
54, 1, 15.5668
55, 1, 15.6542
56, 1, 15.4483
57, 1, 15.2137
58, 1, 14.5199
59, 1, 13.8957
60, 1, 13.7066
61, 1, 16.4375
62, 1, 15.6843
63, 1, 16.4012
64, 1, 15.4881
65, 1, 15.5671
66, 1, 15.2368
67, 1, 15.0854
68, 1, 14.7822
69, 1, 16.3200
70, 1, 16.6211
71, 1, 16.0554
72, 1, 15.7426
73, 1, 15.5964
74, 1, 15.3748
75, 1, 15.0690
76, 1, 14.7941
77, 1, 16.3045
78, 1, 16.7098
79, 1, 16.3708
80, 1, 15.6033
81, 1, 14.9297
82, 1, 14.4012
83, 1, 14.4167
84, 1, 14.1765
85, 1, 16.1159
86, 1, 17.0586
87, 1, 16.5835
88, 1, 16.1906
89, 1, 15.7728
90, 1, 15.4184
91, 1, 13.9003
92, 1, 14.1433
93, 1, 16.3771
94, 1, 16.6630
95, 1, 16.2387
96, 1, 15.9126
97, 1, 15.7806
98, 1, 15.5111
99, 1, 14.9602
100, 1, 14.5590
101, 1, 16.1584
102, 1, 16.2668
103, 1, 16.2926
104, 1, 15.0886
105, 1, 15.3035
106, 1, 14.7907
107, 1, 14.7546
108, 1, 14.0412
109, 1, 16.2417
110, 1, 16.2079
111, 1, 14.9995
112, 1, 14.7800
113, 1, 14.7221
114, 1, 14.0870
115, 1, 13.4828
116, 1, 13.3807
117, 1, 16.2842
118, 1, 14.0146
119, 1, 14.1476
120, 1, 13.8457
121, 1, 13.7081
122, 1, 13.7650
123, 1, 13.4918
124, 1, 13.5449
125, 1, 16.3040
126, 1, 16.2185
127, 1, 16.3507
128, 1, 15.9216
129, 1, 15.4216
130, 1, 15.3039
131, 1, 14.8081
132, 1, 14.5266
133, 1, 16.2336
134, 1, 16.1314
135, 1, 15.8579
136, 1, 15.3098
137, 1, 15.4214
138, 1, 14.8404
139, 1, 14.2216
140, 1, 13.9616
141, 1, 16.1906
142, 1, 16.8561
143, 1, 15.8810
144, 1, 15.5873
145, 1, 15.3056
146, 1, 14.6968
147, 1, 14.3053
148, 1, 13.7991
149, 1, 16.1166
150, 1, 15.7429
151, 1, 15.1914
152, 1, 14.7110
153, 1, 13.9486
154, 1, 13.1764
155, 1, 12.5329
156, 1, 12.4758
157, 1, 16.3350
158, 1, 15.7635
159, 1, 15.0076
160, 1, 14.4930
161, 1, 14.5460
162, 1, 13.8425
163, 1, 13.5345
164, 1, 13.0749
165, 1, 16.1853
166, 1, 15.7814
167, 1, 15.4898
168, 1, 14.9378
169, 1, 14.1484
170, 1, 13.7504
171, 1, 13.0744
172, 1, 12.7433
173, 1, 16.2768
174, 1, 15.6818
175, 1, 15.0489
176, 1, 14.2442
177, 1, 14.0259
178, 1, 13.5098
179, 1, 13.1486
180, 1, 12.8425
181, 1, 16.1374
182, 1, 16.3533
183, 1, 15.7459
184, 1, 15.1013
185, 1, 14.4467
186, 1, 14.2828
187, 1, 13.8880
188, 1, 13.5997
189, 1, 16.1343
190, 1, 16.1047
191, 1, 15.8799
192, 1, 15.4314
193, 1, 14.6767
194, 1, 14.5464
195, 1, 14.3097
196, 1, 14.1328
197, 1, 16.0852
198, 1, 16.1816
199, 1, 15.9274
200, 1, 15.5050
201, 1, 15.3926
202, 1, 14.4805
203, 1, 14.4105
204, 1, 14.1530
205, 1, 16.1093
206, 1, 16.2763
207, 1, 16.1596
208, 1, 15.4654
209, 1, 14.6274
210, 1, 14.2265
211, 1, 14.1209
212, 1, 13.8655
213, 1, 16.3875
214, 1, 16.5067
215, 1, 15.5919
216, 1, 15.5251
217, 1, 15.0082
218, 1, 14.3267
219, 1, 13.9284
220, 1, 13.2030
221, 1, 16.5050
222, 1, 15.2512
223, 1, 15.4091
224, 1, 15.1539
225, 1, 14.6148
226, 1, 14.5456
227, 1, 14.0797
228, 1, 13.6093
229, 1, 16.3450
230, 1, 15.7150
231, 1, 15.4045
232, 1, 15.4187
233, 1, 14.9845
234, 1, 14.7479
235, 1, 14.2556
236, 1, 13.9947
237, 1, 16.3720
238, 1, 15.7634
239, 1, 15.1460
