Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1535
3, 0, 16.7173
4, 0, 16.7640
5, 0, 16.5093
6, 0, 16.0030
7, 0, 15.6106
8, 0, 14.9827
9, 0, 14.3180
10, 0, 13.9013
11, 0, 16.5655
12, 0, 17.0091
13, 0, 16.6559
14, 0, 15.9336
15, 0, 15.2865
16, 0, 14.7334
17, 0, 14.1278
18, 0, 13.7720
19, 0, 16.5245
20, 0, 16.7812
21, 0, 16.5751
22, 0, 16.0173
23, 0, 15.4924
24, 0, 14.8577
25, 0, 14.3097
26, 0, 13.7872
27, 0, 16.5271
28, 0, 17.0288
29, 0, 16.3828
30, 0, 15.9745
31, 0, 15.3655
32, 0, 14.6984
33, 0, 14.1709
34, 0, 13.8826
35, 0, 16.3776
36, 0, 16.7942
37, 0, 16.3526
38, 0, 15.8658
39, 0, 15.3408
40, 0, 14.5990
41, 0, 14.3019
42, 0, 13.8848
43, 0, 16.4628
44, 0, 16.7073
45, 0, 16.3320
46, 0, 15.9247
47, 0, 15.2992
48, 0, 14.6367
49, 0, 14.2167
50, 0, 13.8521
51, 0, 16.5084
52, 0, 16.7686
53, 0, 16.4976
54, 0, 15.8100
55, 0, 15.2771
56, 0, 14.6852
57, 0, 14.1496
58, 0, 13.7916
59, 0, 16.3942
60, 0, 16.8077
61, 0, 16.2904
62, 0, 15.8674
63, 0, 15.3935
64, 0, 14.5267
65, 0, 14.1494
66, 0, 13.8101
67, 0, 16.4064
68, 0, 16.7774
69, 0, 15.8387
70, 0, 15.5628
71, 0, 14.6007
72, 0, 13.9814
73, 0, 13.8294
74, 0, 13.3579
75, 0, 16.3106
76, 0, 16.8187
77, 0, 16.3660
78, 0, 15.8379
79, 0, 15.1170
80, 0, 14.5168
81, 0, 13.9265
82, 0, 13.6210
83, 0, 16.2542
84, 0, 16.2442
85, 0, 16.0642
86, 0, 15.6014
87, 0, 15.0756
88, 0, 14.6505
89, 0, 14.1502
90, 0, 13.7116
91, 0, 16.3427
92, 0, 16.6377
93, 0, 16.4144
94, 0, 15.5555
95, 0, 14.9909
96, 0, 14.3993
97, 0, 13.9156
98, 0, 13.5887
99, 0, 16.1541
100, 0, 16.4724
101, 0, 15.4432
102, 0, 14.9354
103, 0, 14.6011
104, 0, 13.9337
105, 0, 13.7174
106, 0, 13.3836
107, 0, 16.2009
108, 0, 16.5555
109, 0, 16.1400
110, 0, 15.6150
111, 0, 15.0758
112, 0, 14.6786
113, 0, 14.1467
114, 0, 13.6656
115, 0, 16.3044
116, 0, 16.7698
117, 0, 16.3532
118, 0, 14.6227
119, 0, 14.8047
120, 0, 14.2693
121, 0, 13.9124
122, 0, 13.4810
123, 0, 16.2742
124, 0, 16.4199
125, 0, 16.1193
126, 0, 15.4702
127, 0, 14.9925
128, 0, 14.1811
129, 0, 13.9142
130, 0, 13.7647
131, 0, 16.2490
132, 0, 16.7696
133, 0, 16.0758
134, 0, 15.6242
135, 0, 15.0654
136, 0, 14.2582
137, 0, 13.9102
138, 0, 13.5567
139, 0, 16.2029
140, 0, 16.6195
141, 0, 16.0478
142, 0, 15.4390
143, 0, 14.6067
144, 0, 13.9340
145, 0, 13.4644
146, 0, 12.8007
147, 0, 16.1814
148, 0, 16.1631
149, 0, 15.7361
150, 0, 15.2974
151, 0, 14.9698
152, 0, 14.4631
153, 0, 14.0647
154, 0, 13.5576
155, 0, 16.1121
156, 0, 16.4470
157, 0, 16.2000
158, 0, 15.0730
159, 0, 14.5249
160, 0, 13.9793
161, 0, 13.8044
162, 0, 13.4897
163, 0, 16.2808
164, 0, 16.6359
165, 0, 15.8341
166, 0, 15.1176
167, 0, 14.6470
168, 0, 13.8558
169, 0, 13.3918
170, 0, 13.0321
171, 0, 16.1061
172, 0, 16.5533
