channel_000:[-0.9474045038223267, 0.821576714515686]
channel_001:[-67.85720825195312, 39.11696243286133]
channel_002:[-0.6363193988800049, 0.9353915452957153]
channel_003:[-0.6467341780662537, 1.0555282831192017]
channel_004:[-0.620257556438446, 0.9795883893966675]
channel_005:[-0.657425045967102, 0.9560686945915222]
channel_006:[-0.9622938632965088, 0.6059327125549316]
channel_007:[-0.9362210631370544, 0.5961933732032776]
channel_008:[-0.6680101156234741, 0.6168676614761353]
channel_009:[-0.7373229265213013, 0.7105058431625366]
channel_010:[-0.7275298833847046, 0.8916593790054321]
channel_011:[-0.7306596040725708, 0.7869988083839417]
channel_012:[-0.7206933498382568, 0.6218730211257935]
channel_013:[-0.5983802676200867, 0.741653323173523]
channel_014:[-0.7342774868011475, 0.773237943649292]
channel_015:[-0.8693469762802124, 0.9712245464324951]
channel_016:[-0.9018635749816895, 0.6841821670532227]
channel_017:[-0.7504720091819763, 0.786557137966156]
channel_018:[-0.6161327362060547, 1.0416843891143799]
channel_019:[-0.7549846172332764, 0.6812252998352051]
channel_020:[-0.8268478512763977, 0.6542659401893616]
channel_021:[-0.9400477409362793, 0.663166880607605]
channel_022:[-51.8104133605957, 82.78546905517578]
channel_023:[-0.20651572942733765, 1.5774116516113281]
channel_024:[-0.7108954191207886, 0.6600667238235474]
channel_025:[-0.9089764952659607, 0.6856836080551147]
channel_026:[-0.8564329147338867, 0.618927538394928]
channel_027:[-0.20344167947769165, 1.3998055458068848]
channel_028:[-0.6713722944259644, 0.8002902269363403]
channel_029:[-0.7789236307144165, 0.6642754077911377]
channel_030:[-1.2456802129745483, 0.7514945268630981]
channel_031:[-0.8739469051361084, 0.8269399404525757]
channel_032:[-0.7166486978530884, 0.8765239119529724]
channel_033:[-0.72022545337677, 0.7358049154281616]
channel_034:[-0.6708621978759766, 0.6382841467857361]
channel_035:[-0.6116434931755066, 1.0567001104354858]
channel_036:[-0.7983813285827637, 0.6644045114517212]
channel_037:[-0.8116776347160339, 0.5469749569892883]
channel_038:[-0.6692115068435669, 0.8446168303489685]
channel_039:[-0.7591837644577026, 0.7771117091178894]
channel_040:[-0.7013993263244629, 0.9808646440505981]
channel_041:[-0.8104619383811951, 0.861608624458313]
channel_042:[-0.6146132349967957, 0.9689366817474365]
channel_043:[-73.91197204589844, 136.55801391601562]
channel_044:[-0.6826032996177673, 1.0097169876098633]
channel_045:[-0.9405806064605713, 0.6615052223205566]
channel_046:[-0.6649681329727173, 0.7938904762268066]
channel_047:[-0.8712626099586487, 1.040048360824585]
channel_048:[-0.9230967164039612, 0.5976854562759399]
channel_049:[-0.5949019193649292, 0.8634978532791138]
channel_050:[-0.6770435571670532, 0.8067415952682495]
channel_051:[-0.7261725068092346, 0.8092324733734131]
channel_052:[-0.8519231677055359, 0.6577901840209961]
channel_053:[-0.6584104299545288, 0.8521463871002197]
channel_054:[-0.826549232006073, 0.8267180919647217]
channel_055:[-0.8256030082702637, 0.8713915348052979]
channel_056:[-0.7785460352897644, 0.6543393731117249]
channel_057:[-0.8775874376296997, 0.6776258945465088]
channel_058:[-0.75776207447052, 0.7045965194702148]
channel_059:[-1.0798416137695312, 0.6970906853675842]
channel_060:[-0.9658209085464478, 0.9138116836547852]
channel_061:[-0.8022721409797668, 0.7803124189376831]
channel_062:[-0.7958658933639526, 0.6621736884117126]
channel_063:[-0.6817038655281067, 0.7235206961631775]
channel_064:[-0.7268356084823608, 0.7369827628135681]
channel_065:[-0.7066396474838257, 0.7488996386528015]
channel_066:[-0.628235936164856, 1.0739372968673706]
channel_067:[-0.9130364656448364, 0.5814425349235535]
channel_068:[-0.7586086392402649, 0.6534149050712585]
channel_069:[-0.8371886014938354, 0.6572774648666382]
channel_070:[-33.891483306884766, 30.76811408996582]
channel_071:[-0.8109022974967957, 0.9765906929969788]
channel_072:[-0.7245718836784363, 0.6915959119796753]
channel_073:[-0.9383703470230103, 0.796371340751648]
channel_074:[-0.6107265949249268, 1.0003085136413574]
channel_075:[-1.0118756294250488, 0.8223271369934082]
channel_076:[-0.647992730140686, 0.8702601194381714]
channel_077:[-0.6643195152282715, 0.6817968487739563]
channel_078:[-0.8103889226913452, 0.6618196964263916]
channel_079:[-1.1302974224090576, 0.699863851070404]
channel_080:[-0.9878350496292114, 0.9346569776535034]
channel_081:[-1.3549740314483643, 0.29705673456192017]
channel_082:[-0.679676353931427, 0.7677158117294312]
channel_083:[-0.615226686000824, 0.8461257815361023]
channel_084:[-0.764360785484314, 0.6446471810340881]
channel_085:[-0.8103751540184021, 0.8545224070549011]
channel_086:[-0.7416313886642456, 0.6984319686889648]
channel_087:[-0.7570509910583496, 0.750395655632019]
channel_088:[-0.7304612994194031, 0.6761718988418579]
channel_089:[-0.8372522592544556, 0.7105131149291992]
channel_090:[-0.755173921585083, 0.7657855749130249]
channel_091:[-59.41666030883789, 85.29034423828125]
channel_092:[-0.6090520620346069, 1.0412726402282715]
channel_093:[-0.6272386312484741, 0.7682434320449829]
channel_094:[-0.8614819645881653, 0.7946463823318481]
channel_095:[-270.0304260253906, 506.67340087890625]
channel_096:[-0.9484045505523682, 0.7793290615081787]
