channel_000:[-0.6802760362625122, 0.6361967325210571]
channel_001:[-0.5310817956924438, 0.5448897480964661]
channel_002:[-0.5380231142044067, 0.5434293746948242]
channel_003:[-8.980403900146484, 9.736380577087402]
channel_004:[-0.5424470901489258, 0.5494178533554077]
channel_005:[-0.5622038841247559, 0.5490894913673401]
channel_006:[-4.999473571777344, 4.888935089111328]
channel_007:[-0.5567191243171692, 0.5488672852516174]
channel_008:[-0.5321452021598816, 0.5368665456771851]
channel_009:[-5.210415363311768, 4.7945685386657715]
channel_010:[-0.5314450860023499, 0.5379701852798462]
channel_011:[-0.5702239871025085, 0.6013660430908203]
channel_012:[-0.5404208302497864, 0.5372578501701355]
channel_013:[-0.5376893877983093, 0.5334612727165222]
channel_014:[-0.5358840823173523, 0.5442647933959961]
channel_015:[-0.5424585938453674, 0.5419520139694214]
channel_016:[-0.5449597239494324, 0.5412570238113403]
channel_017:[-0.5424574613571167, 0.5368301868438721]
channel_018:[-0.5337810516357422, 0.5402293801307678]
channel_019:[-0.5460541844367981, 0.5461111664772034]
channel_020:[-0.5307719707489014, 0.5280975699424744]
channel_021:[-0.5357930064201355, 0.5422394871711731]
channel_022:[-5.121083736419678, 4.985104560852051]
channel_023:[-0.5407468676567078, 0.5397726893424988]
channel_024:[-0.5247120261192322, 0.5343793034553528]
channel_025:[-0.5485544204711914, 0.5339925289154053]
channel_026:[-5.229607582092285, 4.802813529968262]
channel_027:[-0.5329061150550842, 0.5257369875907898]
channel_028:[-0.5358449816703796, 0.5334075093269348]
channel_029:[-0.5264804363250732, 0.5365580320358276]
channel_030:[-4.812174320220947, 4.959682941436768]
channel_031:[-0.5340097546577454, 0.5438789129257202]
channel_032:[-0.5356464982032776, 0.5337289571762085]
channel_033:[-0.5505817532539368, 0.5607656836509705]
channel_034:[-0.5377870202064514, 0.5422234535217285]
channel_035:[-5.016191005706787, 5.759277820587158]
channel_036:[-4.881897449493408, 5.306474208831787]
channel_037:[-0.5457445383071899, 0.545233964920044]
channel_038:[-4.7685160636901855, 5.320678234100342]
channel_039:[-0.5291227698326111, 0.5310190320014954]
channel_040:[-0.5457237958908081, 0.5428894758224487]
channel_041:[-0.5336254239082336, 0.5422836542129517]
channel_042:[-0.5434129238128662, 0.5395900011062622]
channel_043:[-5.42596435546875, 4.808192729949951]
channel_044:[-0.5362968444824219, 0.5444501042366028]
channel_045:[-0.5365093946456909, 0.5398508906364441]
channel_046:[-0.5490997433662415, 0.5389931797981262]
channel_047:[-0.527878999710083, 0.5366522073745728]
channel_048:[-0.5333397388458252, 0.5519432425498962]
channel_049:[-4.883284568786621, 5.154680252075195]
channel_050:[-8.887849807739258, 8.718130111694336]
channel_051:[-0.5528134703636169, 0.5532338619232178]
channel_052:[-0.5391221642494202, 0.5408139228820801]
channel_053:[-0.5313688516616821, 0.5358554720878601]
channel_054:[-4.968384742736816, 5.3228936195373535]
channel_055:[-0.5417601466178894, 0.5445401072502136]
channel_056:[-0.536763608455658, 0.5315310955047607]
channel_057:[-0.5603605508804321, 0.5468254685401917]
channel_058:[-0.5376296639442444, 0.5411899089813232]
channel_059:[-4.8783278465271, 5.203866004943848]
channel_060:[-0.5449084043502808, 0.5397115349769592]
channel_061:[-0.540253758430481, 0.5456678867340088]
channel_062:[-0.5337181687355042, 0.5344902873039246]
channel_063:[-0.5410395264625549, 0.5298207402229309]
channel_064:[-0.5744733810424805, 0.5811272859573364]
channel_065:[-6.885871410369873, 6.462603569030762]
channel_066:[-0.540043830871582, 0.545700192451477]
channel_067:[-0.5396074652671814, 0.5429729223251343]
channel_068:[-0.5379863977432251, 0.5444610714912415]
channel_069:[-0.550218939781189, 0.5430194139480591]
channel_070:[-4.905607223510742, 5.090327262878418]
channel_071:[-0.532832682132721, 0.5351357460021973]
channel_072:[-5.040468215942383, 4.8158793449401855]
channel_073:[-0.5875929594039917, 0.6390697956085205]
channel_074:[-0.5306195616722107, 0.5322715044021606]
channel_075:[-0.6336938142776489, 0.6130828857421875]
channel_076:[-0.5386113524436951, 0.5327415466308594]
channel_077:[-0.5605748891830444, 0.5517523884773254]
channel_078:[-0.5678369998931885, 0.5903835892677307]
channel_079:[-4.985280990600586, 5.3353095054626465]
channel_080:[-0.5580769777297974, 0.564703643321991]
channel_081:[-0.5361214280128479, 0.530010998249054]
channel_082:[-0.5339969396591187, 0.5278359651565552]
channel_083:[-0.5456851124763489, 0.5353417992591858]
channel_084:[-0.550685465335846, 0.5447806715965271]
channel_085:[-0.532846212387085, 0.5434709191322327]
channel_086:[-0.546156108379364, 0.5523115992546082]
channel_087:[-0.6040104031562805, 0.654405951499939]
channel_088:[-7.242089748382568, 8.450713157653809]
channel_089:[-4.876556396484375, 4.635655879974365]
channel_090:[-0.5467811822891235, 0.5428358912467957]
channel_091:[-0.5350523591041565, 0.530280351638794]
channel_092:[-0.538349986076355, 0.5420634150505066]
channel_093:[-0.566397488117218, 0.5788233876228333]
channel_094:[-0.529453694820404, 0.5323466658592224]
channel_095:[-0.5345947742462158, 0.5332155823707581]
