Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1504
3, 0, 16.7264
4, 0, 15.8876
5, 0, 15.4248
6, 0, 14.8528
7, 0, 16.6373
8, 0, 17.1842
9, 0, 16.5447
10, 0, 16.0400
11, 0, 15.3823
12, 0, 14.6993
13, 0, 14.2691
14, 0, 13.8258
15, 0, 16.5176
16, 0, 17.1036
17, 0, 16.4459
18, 0, 16.0139
19, 0, 15.3504
20, 0, 14.7125
21, 0, 14.3590
22, 0, 13.9899
23, 0, 16.4365
24, 0, 16.8089
25, 0, 16.4513
26, 0, 15.7851
27, 0, 15.3530
28, 0, 14.7993
29, 0, 14.1840
30, 0, 13.8785
31, 0, 16.5402
32, 0, 16.8865
33, 0, 16.2370
34, 0, 15.3692
35, 0, 14.9634
36, 0, 14.2876
37, 0, 13.6958
38, 0, 13.3888
39, 0, 16.4655
40, 0, 16.1056
41, 0, 16.2853
42, 0, 15.8782
43, 0, 15.3612
44, 0, 14.6784
45, 0, 14.1681
46, 0, 13.8268
47, 0, 16.4489
48, 0, 16.7640
49, 0, 16.4034
50, 0, 15.8852
51, 0, 15.4133
52, 0, 14.6690
53, 0, 14.2003
54, 0, 13.8719
55, 0, 16.2579
56, 0, 16.8243
57, 0, 16.3676
58, 0, 15.4420
59, 0, 14.6310
60, 0, 14.4550
61, 0, 14.1696
62, 0, 13.9304
63, 0, 16.4212
64, 0, 16.4639
65, 0, 16.2078
66, 0, 15.8357
67, 0, 15.2567
68, 0, 14.5803
69, 0, 13.9164
70, 0, 13.5409
71, 0, 16.2648
72, 0, 16.7461
73, 0, 16.3095
74, 0, 15.6390
75, 0, 15.0799
76, 0, 14.6236
77, 0, 14.0924
78, 0, 13.7344
79, 0, 16.3382
80, 0, 16.6582
81, 0, 15.8185
82, 0, 14.9779
83, 0, 14.4828
84, 0, 14.3469
85, 0, 14.0008
86, 0, 13.6176
87, 0, 16.2332
88, 0, 16.8446
89, 0, 16.4100
90, 0, 15.8718
91, 0, 15.2442
92, 0, 14.6810
93, 0, 14.2984
94, 0, 13.6970
