Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 16.5241
3, 0, 16.2330
4, 0, 15.0925
5, 0, 14.7641
6, 0, 14.0973
7, 0, 16.6373
8, 0, 17.0172
9, 0, 16.1910
10, 0, 15.6639
11, 0, 14.9895
12, 0, 14.2872
13, 0, 13.8212
14, 0, 13.2149
15, 0, 16.5176
16, 0, 16.8562
17, 0, 15.8968
18, 0, 15.5190
19, 0, 14.5164
20, 0, 13.9276
21, 0, 13.5912
22, 0, 13.1128
23, 0, 16.4365
24, 0, 16.4229
25, 0, 16.0901
26, 0, 15.2751
27, 0, 14.6373
28, 0, 14.1083
29, 0, 13.5670
30, 0, 13.2510
31, 0, 16.5402
32, 0, 16.6878
33, 0, 16.0895
34, 0, 14.8885
35, 0, 14.6664
36, 0, 14.2035
37, 0, 13.6088
38, 0, 13.2511
39, 0, 16.4655
40, 0, 15.8481
41, 0, 15.8083
42, 0, 15.2391
43, 0, 14.7818
44, 0, 13.9581
45, 0, 13.5267
46, 0, 13.2023
47, 0, 16.4489
48, 0, 16.2121
49, 0, 15.7948
50, 0, 15.3533
51, 0, 14.8971
52, 0, 14.0354
53, 0, 13.6192
54, 0, 12.9469
55, 0, 16.2579
56, 0, 16.5236
57, 0, 16.0248
58, 0, 14.8720
59, 0, 14.4308
60, 0, 13.9204
61, 0, 13.3074
62, 0, 12.8177
63, 0, 16.4212
64, 0, 15.6323
65, 0, 15.4736
66, 0, 15.0550
67, 0, 14.6293
68, 0, 14.0280
69, 0, 13.1158
70, 0, 12.8594
71, 0, 16.2648
72, 0, 16.2627
73, 0, 15.8441
74, 0, 15.0463
75, 0, 14.4273
76, 0, 13.7930
77, 0, 13.3894
78, 0, 12.7934
79, 0, 16.3382
80, 0, 16.1254
81, 0, 15.3306
82, 0, 14.4874
83, 0, 14.1025
84, 0, 13.4013
85, 0, 13.0548
86, 0, 12.7731
87, 0, 16.2332
88, 0, 16.7197
89, 0, 16.1854
90, 0, 15.6603
91, 0, 13.6152
92, 0, 13.2738
93, 0, 13.1901
94, 0, 12.7414
95, 0, 16.1913
96, 0, 16.0510
97, 0, 15.6931
98, 0, 15.1232
99, 0, 14.3343
100, 0, 13.7300
101, 0, 13.1901
102, 0, 12.6611
103, 0, 16.1329
104, 0, 15.1008
105, 0, 15.1015
106, 0, 14.4507
107, 0, 14.2592
108, 0, 13.3545
109, 0, 13.2279
110, 0, 12.8181
111, 0, 16.2132
112, 0, 16.1722
113, 0, 15.9718
114, 0, 14.8551
115, 0, 14.1464
116, 0, 13.8157
117, 0, 13.3852
118, 0, 12.2529
119, 0, 16.4645
120, 0, 16.1252
121, 0, 15.2337
122, 0, 14.9209
123, 0, 14.1315
124, 0, 13.5880
125, 0, 13.1583
126, 0, 12.8120
127, 0, 16.2125
128, 0, 16.2069
129, 0, 15.5732
130, 0, 15.2566
131, 0, 14.4388
132, 0, 13.9673
133, 0, 13.2878
134, 0, 12.9218
135, 0, 16.2347
136, 0, 15.5237
137, 0, 15.4803
138, 0, 14.7684
139, 0, 14.0998
140, 0, 13.6378
141, 0, 13.1500
142, 0, 12.8499
143, 0, 16.1501
144, 0, 15.9073
145, 0, 15.5515
146, 0, 14.9688
147, 0, 14.4456
148, 0, 13.8822
149, 0, 13.3068
150, 0, 12.7654
151, 0, 16.2112
152, 0, 16.6616
153, 0, 15.6971
154, 0, 15.2500
155, 0, 14.2689
156, 0, 13.8011
157, 0, 13.4732
158, 0, 12.9978
159, 0, 16.3314
160, 0, 16.1283
161, 0, 15.9415
162, 0, 15.0767
163, 0, 14.5755
164, 0, 13.8521
165, 0, 13.3517
166, 0, 12.9662
167, 0, 16.1571
168, 0, 16.2034
169, 0, 15.1564
170, 0, 14.6979
171, 0, 14.1784
172, 0, 13.8456
173, 0, 13.3497
174, 0, 12.8340
175, 0, 16.2040
176, 0, 16.0164
177, 0, 15.6392
178, 0, 14.6342
179, 0, 14.1269
180, 0, 13.6948
181, 0, 13.3199
182, 0, 12.8880
183, 0, 16.1275
184, 0, 16.1173
185, 0, 15.4137
186, 0, 14.8988
187, 0, 14.2941
188, 0, 13.7087
189, 0, 13.1645
190, 0, 12.7299
191, 0, 16.1231
192, 0, 16.2445
193, 0, 15.2312
194, 0, 14.9285
195, 0, 14.5526
196, 0, 13.9547
197, 0, 13.4570
198, 0, 12.9944
199, 0, 16.1081
200, 0, 16.2576
201, 0, 15.9366
202, 0, 14.7964
203, 0, 14.3320
204, 0, 13.7749
205, 0, 13.2626
206, 0, 12.7140
207, 0, 16.0516
208, 0, 15.5481
209, 0, 14.7326
210, 0, 14.0689
211, 0, 13.9375
212, 0, 13.4824
213, 0, 12.9533
214, 0, 12.7372
215, 0, 16.4227
216, 0, 16.9142
217, 0, 15.7007
218, 0, 14.9433
219, 0, 14.5673
220, 0, 13.9195
221, 0, 13.6102
222, 0, 12.9443
223, 0, 16.4582
224, 0, 15.8953
225, 0, 15.3746
226, 0, 15.1207
227, 0, 14.5040
228, 0, 14.0897
229, 0, 13.4613
230, 0, 12.8845
231, 0, 16.3760
232, 0, 16.2952
233, 0, 15.1388
234, 0, 14.2150
235, 0, 14.0207
236, 0, 13.7670
237, 0, 13.4512
238, 0, 12.8807
239, 0, 16.2884
240, 0, 16.5281
241, 0, 15.6210
242, 0, 15.3273
243, 0, 14.2890
244, 0, 13.8169
245, 0, 13.3886
246, 0, 13.0700
247, 0, 16.3722
248, 0, 16.4317
249, 0, 15.7161
250, 0, 14.9780
1, 1, 11.8652
2, 1, 12.1198
3, 1, 12.3385
4, 1, 12.3362
5, 1, 12.4290
6, 1, 12.3421
7, 1, 16.6373
8, 1, 17.2141
9, 1, 16.4785
10, 1, 16.1736
11, 1, 15.6264
12, 1, 15.1317
13, 1, 14.8846
14, 1, 14.3213
15, 1, 16.5176
16, 1, 17.0022
17, 1, 16.1527
18, 1, 15.9801
19, 1, 14.9822
20, 1, 14.6725
21, 1, 14.5557
22, 1, 14.2661
23, 1, 16.4365
24, 1, 16.6231
25, 1, 16.4220
26, 1, 15.8962
27, 1, 15.4215
28, 1, 15.0532
29, 1, 14.6729
30, 1, 14.4501
31, 1, 16.5402
32, 1, 16.8415
33, 1, 16.4220
34, 1, 15.1811
35, 1, 15.2282
36, 1, 15.0148
37, 1, 14.6356
38, 1, 14.4208
39, 1, 16.4655
40, 1, 15.8313
41, 1, 16.1476
42, 1, 15.6886
43, 1, 15.4767
44, 1, 14.7148
45, 1, 14.5402
46, 1, 14.4044
47, 1, 16.4489
48, 1, 16.2938
49, 1, 15.9802
50, 1, 15.7239
51, 1, 15.4701
52, 1, 14.7838
53, 1, 14.6127
54, 1, 14.0634
55, 1, 16.2579
56, 1, 16.6300
57, 1, 16.3150
58, 1, 15.0678
59, 1, 15.0256
60, 1, 14.7026
61, 1, 14.0576
62, 1, 13.7442
63, 1, 16.4212
64, 1, 15.6007
65, 1, 15.6301
66, 1, 15.3926
67, 1, 15.1943
68, 1, 14.8394
69, 1, 13.7698
70, 1, 13.7900
71, 1, 16.2648
72, 1, 16.3406
73, 1, 16.1179
74, 1, 15.5454
75, 1, 14.4849
76, 1, 14.3270
77, 1, 14.1271
78, 1, 13.7377
79, 1, 16.3382
80, 1, 16.1685
81, 1, 15.4119
82, 1, 14.6820
83, 1, 14.4311
84, 1, 13.8978
85, 1, 13.8890
86, 1, 13.7481
87, 1, 16.2332
88, 1, 16.8203
89, 1, 16.4120
90, 1, 15.9818
91, 1, 13.6943
92, 1, 13.6106
93, 1, 13.5604
94, 1, 13.1983
95, 1, 16.1913
96, 1, 15.8415
97, 1, 15.5786
98, 1, 15.0224
99, 1, 14.2684
100, 1, 13.8462
101, 1, 13.4455
102, 1, 13.0502
103, 1, 16.1329
104, 1, 14.8103
105, 1, 14.7225
106, 1, 14.3047
107, 1, 14.2362
108, 1, 13.3317
109, 1, 13.3779
110, 1, 12.9926
111, 1, 16.2132
112, 1, 16.0521
113, 1, 15.7506
114, 1, 14.7020
