Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.0537
3, 0, 16.7101
4, 0, 15.7907
5, 0, 15.3324
6, 0, 14.8537
7, 0, 16.6373
8, 0, 17.1842
9, 0, 16.4532
10, 0, 15.9901
11, 0, 15.3635
12, 0, 14.6832
13, 0, 14.2557
14, 0, 13.7548
15, 0, 16.5176
16, 0, 17.1022
17, 0, 16.4419
18, 0, 15.9806
19, 0, 15.3517
20, 0, 14.5548
21, 0, 14.2282
22, 0, 13.8719
23, 0, 16.4365
24, 0, 16.7870
25, 0, 16.4530
26, 0, 15.7699
27, 0, 15.2904
28, 0, 14.8080
29, 0, 14.1930
30, 0, 13.8302
31, 0, 16.5402
32, 0, 16.8881
33, 0, 16.3272
34, 0, 14.8143
35, 0, 14.6798
36, 0, 14.1219
37, 0, 13.7135
38, 0, 13.5966
39, 0, 16.4655
40, 0, 16.4765
41, 0, 16.4721
42, 0, 15.8959
43, 0, 15.2923
44, 0, 14.5301
45, 0, 14.0524
46, 0, 13.7520
47, 0, 16.4489
48, 0, 16.7649
49, 0, 16.3923
50, 0, 15.8779
51, 0, 15.4163
52, 0, 14.5977
53, 0, 14.1615
54, 0, 13.7659
55, 0, 16.2579
56, 0, 16.8250
57, 0, 16.3570
58, 0, 15.6398
59, 0, 15.2898
60, 0, 14.7045
61, 0, 14.0551
62, 0, 13.5317
63, 0, 16.4212
64, 0, 16.0537
65, 0, 15.9604
66, 0, 15.4661
67, 0, 15.1812
68, 0, 14.5304
69, 0, 13.6864
70, 0, 13.0852
71, 0, 16.2648
72, 0, 16.7471
73, 0, 16.2371
74, 0, 15.5528
75, 0, 15.1482
76, 0, 14.6966
77, 0, 14.1123
78, 0, 13.5239
79, 0, 16.3382
80, 0, 16.6613
81, 0, 15.9760
82, 0, 15.3156
83, 0, 15.0130
84, 0, 14.2931
85, 0, 14.0202
86, 0, 13.6706
87, 0, 16.2332
88, 0, 16.8426
89, 0, 16.4076
90, 0, 15.8509
91, 0, 14.7889
92, 0, 14.5825
93, 0, 14.1772
94, 0, 13.5871
95, 0, 16.1913
96, 0, 16.2487
97, 0, 15.7470
98, 0, 14.7106
99, 0, 13.4877
100, 0, 12.4724
101, 0, 12.3397
102, 0, 12.4137
103, 0, 16.1329
104, 0, 14.8706
105, 0, 16.0881
106, 0, 15.5515
107, 0, 15.0692
108, 0, 14.5692
109, 0, 14.1367
110, 0, 13.7321
111, 0, 16.2132
112, 0, 16.7543
113, 0, 16.3685
114, 0, 15.6221
115, 0, 15.1685
116, 0, 14.6719
117, 0, 14.1677
118, 0, 13.3643
119, 0, 16.4645
120, 0, 16.6825
121, 0, 16.2557
122, 0, 15.6726
123, 0, 14.9673
124, 0, 14.2760
125, 0, 13.8870
126, 0, 13.4716
127, 0, 16.2125
128, 0, 16.5509
129, 0, 16.0231
130, 0, 15.7038
131, 0, 15.0559
132, 0, 14.5123
133, 0, 13.6791
134, 0, 13.0169
135, 0, 16.2347
136, 0, 15.3218
137, 0, 15.0627
138, 0, 14.0428
139, 0, 13.1446
140, 0, 12.2786
141, 0, 11.5740
142, 0, 11.0197
143, 0, 16.1501
144, 0, 15.2262
145, 0, 14.8829
146, 0, 13.8592
147, 0, 13.1269
148, 0, 12.3203
149, 0, 11.6895
150, 0, 11.3956
151, 0, 16.2112
152, 0, 16.4724
153, 0, 15.0943
154, 0, 14.2354
155, 0, 12.9999
156, 0, 12.2421
157, 0, 11.7695
158, 0, 11.1070
159, 0, 16.3314
160, 0, 15.6064
161, 0, 14.9916
162, 0, 13.7042
163, 0, 12.9960
164, 0, 12.1131
165, 0, 12.2000
166, 0, 11.5487
167, 0, 16.1571
168, 0, 15.5940
169, 0, 14.4124
170, 0, 13.6781
171, 0, 12.8761
172, 0, 12.3243
173, 0, 11.7396
174, 0, 11.1634
175, 0, 16.2040
176, 0, 15.9833
177, 0, 15.2226
178, 0, 13.7854
179, 0, 12.8839
180, 0, 12.9799
181, 0, 12.4175
182, 0, 11.7575
183, 0, 16.1275
184, 0, 15.6552
185, 0, 14.4394
186, 0, 13.8303
187, 0, 13.1377
188, 0, 12.5320
189, 0, 11.8902
190, 0, 11.5267
191, 0, 16.1231
192, 0, 15.9305
193, 0, 14.5849
194, 0, 14.0883
195, 0, 13.5950
196, 0, 12.8223
197, 0, 12.2450
198, 0, 11.8140
199, 0, 16.1081
200, 0, 15.9331
201, 0, 15.8360
202, 0, 14.1851
203, 0, 13.6294
204, 0, 12.7310
205, 0, 12.0986
206, 0, 11.8759
207, 0, 16.0516
208, 0, 15.1494
209, 0, 14.0031
210, 0, 13.0305
211, 0, 12.5333
212, 0, 12.1396
213, 0, 11.3552
214, 0, 10.9185
215, 0, 16.4227
216, 0, 16.7231
217, 0, 15.2520
218, 0, 13.9047
219, 0, 13.1032
220, 0, 12.6507
221, 0, 12.2579
222, 0, 11.4061
223, 0, 16.4582
224, 0, 15.3828
225, 0, 14.6153
226, 0, 14.5891
227, 0, 13.6748
228, 0, 12.9477
229, 0, 12.1313
230, 0, 11.3855
231, 0, 16.3760
232, 0, 15.6955
233, 0, 14.2956
234, 0, 13.3781
235, 0, 12.6519
236, 0, 12.2160
237, 0, 11.8781
