Training Log
Epoch 1, Step 128, Save 1, Validation SSIM: 11.7737
Epoch 2, Step 128, Save 2, Validation SSIM: 11.8965
Epoch 3, Step 128, Save 3, Validation SSIM: 11.7265
Epoch 4, Step 128, Save 4, Validation SSIM: 11.4573
Epoch 5, Step 128, Save 5, Validation SSIM: 11.5553
Epoch 6, Step 128, Save 6, Validation SSIM: 11.6175
Epoch 7, Step 128, Save 7, Validation SSIM: 11.6561
Epoch 8, Step 128, Save 8, Validation SSIM: 11.6663
Epoch 9, Step 128, Save 9, Validation SSIM: 11.5995
Epoch 10, Step 128, Save 10, Validation SSIM: 11.8439
Epoch 11, Step 128, Save 11, Validation SSIM: 11.8997
Epoch 12, Step 128, Save 12, Validation SSIM: 11.7678
Epoch 13, Step 128, Save 13, Validation SSIM: 11.6815
Epoch 14, Step 128, Save 14, Validation SSIM: 11.7250
Epoch 15, Step 128, Save 15, Validation SSIM: 11.7486
Epoch 16, Step 128, Save 16, Validation SSIM: 11.6133
Epoch 17, Step 128, Save 17, Validation SSIM: 11.6133
Epoch 18, Step 128, Save 18, Validation SSIM: 11.9304
Epoch 19, Step 128, Save 19, Validation SSIM: 11.8275
Epoch 20, Step 128, Save 20, Validation SSIM: 11.7488
Epoch 21, Step 128, Save 21, Validation SSIM: 11.8825
Epoch 22, Step 128, Save 22, Validation SSIM: 11.6080
Epoch 23, Step 128, Save 23, Validation SSIM: 11.9299
Epoch 24, Step 128, Save 24, Validation SSIM: 11.8837
Epoch 25, Step 128, Save 25, Validation SSIM: 11.8223
Epoch 26, Step 128, Save 26, Validation SSIM: 11.8810
Epoch 27, Step 128, Save 27, Validation SSIM: 11.9304
Epoch 28, Step 128, Save 28, Validation SSIM: 11.6579
Epoch 29, Step 128, Save 29, Validation SSIM: 11.7472
Epoch 30, Step 128, Save 30, Validation SSIM: 11.7097
Epoch 31, Step 128, Save 31, Validation SSIM: 11.8575
Epoch 32, Step 128, Save 32, Validation SSIM: 11.6191
