Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 16.7265
3, 0, 16.4478
4, 0, 15.3374
5, 0, 15.0085
6, 0, 14.3310
7, 0, 16.6373
8, 0, 17.0972
9, 0, 16.3321
10, 0, 15.8046
11, 0, 15.1394
12, 0, 14.4773
13, 0, 13.9915
14, 0, 13.4734
15, 0, 16.5176
16, 0, 16.9329
17, 0, 16.0570
18, 0, 15.7234
19, 0, 14.7460
20, 0, 14.1807
21, 0, 13.8307
22, 0, 13.4762
23, 0, 16.4365
24, 0, 16.5194
25, 0, 16.2190
26, 0, 15.4698
27, 0, 14.9051
28, 0, 14.3863
29, 0, 13.7998
30, 0, 13.4975
31, 0, 16.5402
32, 0, 16.7485
33, 0, 16.1675
34, 0, 15.1418
35, 0, 14.9218
36, 0, 14.4219
37, 0, 13.8406
38, 0, 13.5118
39, 0, 16.4655
40, 0, 16.0692
41, 0, 16.0178
42, 0, 15.4482
43, 0, 15.0592
44, 0, 14.2375
45, 0, 13.8039
46, 0, 13.5164
47, 0, 16.4489
48, 0, 16.3641
49, 0, 15.9117
50, 0, 15.5304
51, 0, 15.0763
52, 0, 14.2527
53, 0, 13.8352
54, 0, 13.2176
55, 0, 16.2579
56, 0, 16.6502
57, 0, 16.1981
58, 0, 15.1183
59, 0, 14.6435
60, 0, 14.1964
61, 0, 13.6202
62, 0, 13.1661
63, 0, 16.4212
64, 0, 15.8364
65, 0, 15.7663
66, 0, 15.2973
67, 0, 14.8755
68, 0, 14.2679
69, 0, 13.3998
70, 0, 13.1852
71, 0, 16.2648
72, 0, 16.4040
73, 0, 16.0155
74, 0, 15.2809
75, 0, 14.6679
76, 0, 14.0866
77, 0, 13.6368
78, 0, 13.0966
79, 0, 16.3382
80, 0, 16.2675
81, 0, 15.5750
82, 0, 14.7946
83, 0, 14.4738
84, 0, 13.8182
85, 0, 13.4895
86, 0, 13.1926
87, 0, 16.2332
88, 0, 16.7553
89, 0, 16.2786
90, 0, 15.7531
91, 0, 13.9340
92, 0, 13.7392
93, 0, 13.6201
94, 0, 13.1358
95, 0, 16.1913
96, 0, 16.2387
97, 0, 15.9524
98, 0, 15.4530
99, 0, 14.7132
100, 0, 14.0612
101, 0, 13.5141
102, 0, 13.0276
103, 0, 16.1329
104, 0, 15.4553
105, 0, 15.4820
106, 0, 14.9151
107, 0, 14.6615
108, 0, 13.8763
109, 0, 13.5505
110, 0, 13.2270
111, 0, 16.2132
112, 0, 16.4013
