Frame Index, Action Index, SSIM (dB)
1, 0, 16.8027
2, 0, 17.1533
3, 0, 16.7301
4, 0, 15.8983
5, 0, 15.4248
6, 0, 14.8623
7, 0, 14.4616
8, 0, 14.0111
9, 0, 16.4717
10, 0, 17.1457
11, 0, 16.5491
12, 0, 15.8990
13, 0, 15.3879
14, 0, 14.7197
15, 0, 14.1703
16, 0, 13.7949
17, 0, 16.4228
18, 0, 17.0610
19, 0, 16.3555
20, 0, 15.7940
21, 0, 15.4465
22, 0, 14.8382
23, 0, 14.3539
24, 0, 13.8691
25, 0, 16.5465
26, 0, 17.0314
27, 0, 16.6137
28, 0, 16.0527
29, 0, 15.3880
30, 0, 14.8386
31, 0, 14.3145
32, 0, 13.8269
33, 0, 16.4817
34, 0, 16.8035
35, 0, 16.4388
36, 0, 15.9708
37, 0, 15.3082
38, 0, 14.7355
39, 0, 14.3336
40, 0, 13.7230
41, 0, 16.5078
42, 0, 17.0095
43, 0, 16.6197
44, 0, 15.9252
45, 0, 15.3425
46, 0, 14.8233
47, 0, 14.2756
48, 0, 13.7930
49, 0, 16.3726
50, 0, 16.8817
51, 0, 16.5185
52, 0, 15.8804
53, 0, 15.3618
54, 0, 14.7686
55, 0, 14.2168
56, 0, 13.8505
57, 0, 16.3051
58, 0, 16.7533
59, 0, 16.4206
60, 0, 15.8908
61, 0, 15.3595
62, 0, 14.7845
63, 0, 14.3472
64, 0, 13.8281
65, 0, 16.3254
66, 0, 16.7493
67, 0, 16.3610
68, 0, 15.7574
69, 0, 15.2285
70, 0, 14.6941
71, 0, 14.1679
72, 0, 13.8549
73, 0, 16.2885
74, 0, 16.7163
75, 0, 16.2318
76, 0, 15.8384
77, 0, 15.2573
78, 0, 14.6671
79, 0, 14.1115
80, 0, 13.6248
81, 0, 16.2813
82, 0, 16.5800
83, 0, 16.1128
84, 0, 15.6262
85, 0, 15.0921
86, 0, 14.5844
87, 0, 14.1626
88, 0, 13.7391
89, 0, 16.1373
90, 0, 16.8202
91, 0, 16.1748
92, 0, 15.7348
93, 0, 15.3338
94, 0, 14.5907
95, 0, 14.1548
96, 0, 13.7362
97, 0, 16.1959
98, 0, 16.7612
99, 0, 16.2374
100, 0, 15.5892
101, 0, 15.0732
102, 0, 13.5412
103, 0, 14.0426
104, 0, 13.7691
105, 0, 16.2872
106, 0, 16.5663
107, 0, 16.2148
108, 0, 15.6753
109, 0, 15.1627
110, 0, 14.6019
111, 0, 14.1184
112, 0, 13.8288
113, 0, 16.3131
114, 0, 16.4108
115, 0, 16.1435
116, 0, 15.7688
117, 0, 15.1916
118, 0, 14.2969
119, 0, 14.0195
120, 0, 13.6073
121, 0, 16.3969
122, 0, 16.8489
123, 0, 16.1497
124, 0, 15.6293
125, 0, 15.1290
126, 0, 14.5790
127, 0, 14.0736
128, 0, 13.7090
129, 0, 16.3115
130, 0, 16.8633
131, 0, 16.2639
132, 0, 15.7245
133, 0, 15.1197
134, 0, 14.6827
135, 0, 14.1530
136, 0, 13.7005
137, 0, 16.2058
138, 0, 16.5058
139, 0, 16.1352
140, 0, 15.6767
141, 0, 15.1419
142, 0, 14.5096
143, 0, 14.0770
144, 0, 13.7011
145, 0, 16.2616
146, 0, 16.6061
147, 0, 16.1017
148, 0, 15.6567
149, 0, 15.0986
150, 0, 14.5670
151, 0, 14.0975
152, 0, 13.6955
153, 0, 16.3747
154, 0, 16.7273
