channel_000:[-0.7571126222610474, 0.8085653185844421]
channel_001:[-56.545894622802734, 44.52396011352539]
channel_002:[-0.7135536670684814, 0.7950423955917358]
channel_003:[-0.5992113947868347, 0.8040635585784912]
channel_004:[-0.5865742564201355, 1.1194648742675781]
channel_005:[-0.6128184795379639, 0.8136833310127258]
channel_006:[-0.8880316615104675, 0.6564234495162964]
channel_007:[-0.9414963126182556, 0.5890154838562012]
channel_008:[-0.6546154022216797, 0.7077631950378418]
channel_009:[-0.7919426560401917, 0.6947050094604492]
channel_010:[-0.7825813293457031, 0.8100036382675171]
channel_011:[-0.8683898448944092, 0.7104111909866333]
channel_012:[-0.6854761838912964, 0.6456185579299927]
channel_013:[-0.6188570261001587, 0.7112931609153748]
channel_014:[-0.7727870345115662, 0.7883334159851074]
channel_015:[-0.6545260548591614, 1.1649514436721802]
channel_016:[-1.223489761352539, 0.7001667022705078]
channel_017:[-0.8873684406280518, 0.7754899263381958]
channel_018:[-0.6040372848510742, 0.8862324357032776]
channel_019:[-0.7879442572593689, 0.6645640730857849]
channel_020:[-0.831794023513794, 0.6608647704124451]
channel_021:[-0.9531867504119873, 0.6230422258377075]
channel_022:[-87.7621841430664, 103.9072036743164]
channel_023:[-0.18586847186088562, 1.8144559860229492]
channel_024:[-0.7943790555000305, 0.6569646596908569]
channel_025:[-0.9885550737380981, 0.6770422458648682]
channel_026:[-0.7729545831680298, 0.6343369483947754]
channel_027:[-0.17465907335281372, 1.4080417156219482]
channel_028:[-0.8621692657470703, 0.6753113865852356]
channel_029:[-0.7644805908203125, 0.6639520525932312]
channel_030:[-1.4838024377822876, 0.7241145372390747]
channel_031:[-0.8569943308830261, 0.755294919013977]
channel_032:[-0.7012727856636047, 0.9681915640830994]
channel_033:[-0.7489856481552124, 0.7196944952011108]
channel_034:[-0.7197349071502686, 0.6378501653671265]
channel_035:[-0.590430498123169, 0.9755233526229858]
channel_036:[-0.8014410138130188, 0.6851662993431091]
channel_037:[-0.8974090218544006, 0.5512022376060486]
channel_038:[-0.7473161220550537, 0.660830557346344]
channel_039:[-0.902898371219635, 0.7444545030593872]
channel_040:[-1.0229864120483398, 0.8570086359977722]
channel_041:[-0.8474059104919434, 0.7889152765274048]
channel_042:[-0.64704829454422, 1.0103423595428467]
channel_043:[-80.60608673095703, 96.20759582519531]
channel_044:[-0.6154924035072327, 0.8047047853469849]
channel_045:[-0.843264639377594, 0.6946868896484375]
channel_046:[-0.7175217866897583, 0.8109143376350403]
channel_047:[-0.7150642275810242, 0.8067378997802734]
channel_048:[-0.8827495574951172, 0.6498621702194214]
channel_049:[-0.5980775356292725, 0.8984298706054688]
channel_050:[-0.7259807586669922, 0.789602518081665]
channel_051:[-0.6698564291000366, 0.8216487169265747]
channel_052:[-0.9797805547714233, 0.6059622168540955]
channel_053:[-0.8873552680015564, 0.7140548229217529]
